idCrwRevision,0,idReviser,1,idLeaflet,2,idSentence,3,crwRevision,4,dateT,5,flag,6,idGroup,7,rejected,8
23,23,A1OQAP1S1OGZ88,A1OQAP1S1OGZ88,1,1,2,2,The clinical team looking after you may wish to test you for respiratory viruses and if they do this will be using standard labortry testing,The clinical team looking after you may wish to test you for respiratory viruses and if they do this will be using standard labortry testing,2019-06-24 20:16:00,2019-06-24 20:16:00,0,0,1,1,0,0
24,24,A1OQAP1S1OGZ88,A1OQAP1S1OGZ88,1,1,3,3,A and B you have the right to decline all or any of these further research samples,A and B you have the right to decline all or any of these further research samples,2019-06-24 20:16:56,2019-06-24 20:16:56,0,0,1,1,0,0
25,25,AUN1LGCVAUMIK,AUN1LGCVAUMIK,1,1,4,4,"All samples of this study are stored without identity details on it, and also under care and surviled by chief investigator.","All samples of this study are stored without identity details on it, and also under care and surviled by chief investigator.",2019-06-24 20:17:42,2019-06-24 20:17:42,0,0,1,1,0,0
26,26,A1OQAP1S1OGZ88,A1OQAP1S1OGZ88,1,1,4,4,the samples collected during the study are stored without any of personal details on them and are only used in further ethnity apprved resarch under the direction of the chief investigater of ths study,the samples collected during the study are stored without any of personal details on them and are only used in further ethnity apprved resarch under the direction of the chief investigater of ths study,2019-06-24 20:18:09,2019-06-24 20:18:09,0,0,1,1,0,0
27,27,A2KFKP6S866JFB,A2KFKP6S866JFB,1,1,2,2,The doctors taking care of you want to conduct respiratory viruses test to you using standard laboratory testing.,The doctors taking care of you want to conduct respiratory viruses test to you using standard laboratory testing.,2019-06-24 20:39:12,2019-06-24 20:39:12,0,0,1,1,0,0
28,28,A2KFKP6S866JFB,A2KFKP6S866JFB,1,1,3,3,"Group A and B have the right to refuse any further research samples, and this will not affect this study or any care they have received.","Group A and B have the right to refuse any further research samples, and this will not affect this study or any care they have received.",2019-06-24 20:43:36,2019-06-24 20:43:36,0,0,1,1,0,0
29,29,A2KFKP6S866JFB,A2KFKP6S866JFB,1,1,4,4,The samples collected are only going to be used in further approved research based on the direction of the leading investigator of this study.,The samples collected are only going to be used in further approved research based on the direction of the leading investigator of this study.,2019-06-24 20:47:07,2019-06-24 20:47:07,0,0,1,1,0,0
30,30,A396HQPW8JXF76,A396HQPW8JXF76,1,1,1,1,If you are in Group your samples will be tested for a number of viruses using a quick test that will take only an hour. ,If you are in Group your samples will be tested for a number of viruses using a quick test that will take only an hour. ,2019-06-24 21:28:25,2019-06-24 21:28:25,0,0,1,1,0,0
31,31,A396HQPW8JXF76,A396HQPW8JXF76,1,1,2,2,The staff taking care of you may want to examine you for and breathing problems. If they do they will use standard testing.,The staff taking care of you may want to examine you for and breathing problems. If they do they will use standard testing.,2019-06-24 21:29:11,2019-06-24 21:29:11,0,0,1,1,0,0
32,32,A396HQPW8JXF76,A396HQPW8JXF76,1,1,3,3,Both groups have the right to decline samples being taken from them if they choose. It won't change your participation in the study.,Both groups have the right to decline samples being taken from them if they choose. It won't change your participation in the study.,2019-06-24 21:30:23,2019-06-24 21:30:23,0,0,1,1,0,0
33,33,A396HQPW8JXF76,A396HQPW8JXF76,1,1,4,4,The samples will that are taken will only be used for respectful research and they will not contain any information that points to yourself. ,The samples will that are taken will only be used for respectful research and they will not contain any information that points to yourself. ,2019-06-24 21:31:34,2019-06-24 21:31:34,0,0,1,1,0,0
34,34,ARZ9KWKL0P8ND,ARZ9KWKL0P8ND,1,1,1,1,If you are in Group A your samples will be checked for different viruses using a test which takes about an hour.,If you are in Group A your samples will be checked for different viruses using a test which takes about an hour.,2019-06-24 22:02:04,2019-06-24 22:02:04,0,0,5,5,0,0
35,35,ARZ9KWKL0P8ND,ARZ9KWKL0P8ND,1,1,2,2,"The team looking after you may want to test you for respiratory viruses.  If so, this will use standard laboratory testing.","The team looking after you may want to test you for respiratory viruses.  If so, this will use standard laboratory testing.",2019-06-24 22:04:38,2019-06-24 22:04:38,0,0,5,5,0,0
36,36,ARZ9KWKL0P8ND,ARZ9KWKL0P8ND,1,1,3,3,"For both groups, you have the right to decline any further research samples if you wish to, and this will not affect your involvement in the study, or your care.","For both groups, you have the right to decline any further research samples if you wish to, and this will not affect your involvement in the study, or your care.",2019-06-24 22:07:40,2019-06-24 22:07:40,0,0,5,5,0,0
37,37,ARZ9KWKL0P8ND,ARZ9KWKL0P8ND,1,1,4,4,"Samples collected during the study are stored without any personal details attached, and are only used in further ethically approved research, under direction of this study's chief investigator.","Samples collected during the study are stored without any personal details attached, and are only used in further ethically approved research, under direction of this study's chief investigator.",2019-06-24 22:09:28,2019-06-24 22:09:28,0,0,5,5,0,0
38,38,A3Q4QMSBUWLKCT,A3Q4QMSBUWLKCT,1,1,1,1,Being in group A means you will be tested for different virus which would take about an hour ,Being in group A means you will be tested for different virus which would take about an hour ,2019-06-25 00:13:07,2019-06-25 00:13:07,0,0,1,1,0,0
39,39,A3Q4QMSBUWLKCT,A3Q4QMSBUWLKCT,1,1,2,2,You might be tested for respiratory viruses by the clinical team using standard laboratory testing ,You might be tested for respiratory viruses by the clinical team using standard laboratory testing ,2019-06-25 00:14:41,2019-06-25 00:14:41,0,0,1,1,0,0
40,40,A3Q4QMSBUWLKCT,A3Q4QMSBUWLKCT,1,1,3,3,The choice of either rejecting all or some of the research samples will not affect your participation in the study,The choice of either rejecting all or some of the research samples will not affect your participation in the study,2019-06-25 00:16:17,2019-06-25 00:16:17,0,0,1,1,0,0
41,41,A3Q4QMSBUWLKCT,A3Q4QMSBUWLKCT,1,1,4,4,"The chief investigator order the collection of samples without personal details and are used in his direction
","The chief investigator order the collection of samples without personal details and are used in his direction
",2019-06-25 00:18:05,2019-06-25 00:18:05,0,0,1,1,0,0
42,42,A3Q4QMSBUWLKCT,A3Q4QMSBUWLKCT,1,1,4,4,"The chief investigator order the collection of samples without personal details and are used in his direction
","The chief investigator order the collection of samples without personal details and are used in his direction
",2019-06-25 00:22:09,2019-06-25 00:22:09,0,0,1,1,0,0
43,43,A23KNYW5XJ9FKD,A23KNYW5XJ9FKD,1,1,1,1,"If you are in Group A, a 1 hour test will check for viruses in your samples.","If you are in Group A, a 1 hour test will check for viruses in your samples.",2019-06-25 01:25:48,2019-06-25 01:25:48,0,0,5,5,0,0
44,44,A23KNYW5XJ9FKD,A23KNYW5XJ9FKD,1,1,2,2,The clinical team may run lab tests to check if you have respiratory viruses.,The clinical team may run lab tests to check if you have respiratory viruses.,2019-06-25 01:30:13,2019-06-25 01:30:13,0,0,5,5,0,0
45,45,A23KNYW5XJ9FKD,A23KNYW5XJ9FKD,1,1,3,3,"If you are in Group A or B, you may choose not to provide further research samples. This will not affect the care you receive now or remove you from this study.","If you are in Group A or B, you may choose not to provide further research samples. This will not affect the care you receive now or remove you from this study.",2019-06-25 01:33:06,2019-06-25 01:33:06,0,0,5,5,0,0
46,46,A23KNYW5XJ9FKD,A23KNYW5XJ9FKD,1,1,4,4,"The samples we collect in this study may be used in further ethically approved research, under the chief investigator's direction, but your personal details will not be stored with them.","The samples we collect in this study may be used in further ethically approved research, under the chief investigator's direction, but your personal details will not be stored with them.",2019-06-25 01:37:27,2019-06-25 01:37:27,0,0,5,5,0,0
47,47,A1D0MQX51WOV57,A1D0MQX51WOV57,1,1,1,1,"In trauma victims, breathing is restored by artificial respiration. Techniques of artificial respiration include mouth-to-mouth respiration and mouth-to-nose respiration. =&gt; In trauma victims, breathing is restored by artificial respiration, either mouth-to-mouth or mouth-to-nose.","In trauma victims, breathing is restored by artificial respiration. Techniques of artificial respiration include mouth-to-mouth respiration and mouth-to-nose respiration. =&gt; In trauma victims, breathing is restored by artificial respiration, either mouth-to-mouth or mouth-to-nose.",2019-06-25 01:50:40,2019-06-25 01:50:40,0,0,5,5,0,0
48,48,A1D0MQX51WOV57,A1D0MQX51WOV57,1,1,2,2,,,2019-06-25 01:50:45,2019-06-25 01:50:45,0,0,5,5,0,0
49,49,A1D0MQX51WOV57,A1D0MQX51WOV57,1,1,3,3,,,2019-06-25 01:50:49,2019-06-25 01:50:49,0,0,5,5,0,0
50,50,A1D0MQX51WOV57,A1D0MQX51WOV57,1,1,4,4,,,2019-06-25 01:50:54,2019-06-25 01:50:54,0,0,5,5,0,0
51,51,A1V5E5D0BNLYHM,A1V5E5D0BNLYHM,1,1,1,1,"Samples from Group A will be analysed using rapid tests, this takes approximately an hour. ","Samples from Group A will be analysed using rapid tests, this takes approximately an hour. ",2019-06-25 02:14:41,2019-06-25 02:14:41,0,0,5,5,0,0
52,52,A1V5E5D0BNLYHM,A1V5E5D0BNLYHM,1,1,2,2,Subjects may be tested for respiratory viruses which is done using standard laboratory testing.,Subjects may be tested for respiratory viruses which is done using standard laboratory testing.,2019-06-25 02:17:02,2019-06-25 02:17:02,0,0,5,5,0,0
53,53,A1V5E5D0BNLYHM,A1V5E5D0BNLYHM,1,1,3,3,"The treatment you receive and your place in the trial will not be affected by refusing further research samples, should you wish to decline any. ","The treatment you receive and your place in the trial will not be affected by refusing further research samples, should you wish to decline any. ",2019-06-25 02:23:38,2019-06-25 02:23:38,0,0,5,5,0,0
54,54,A1V5E5D0BNLYHM,A1V5E5D0BNLYHM,1,1,4,4,Samples are stored confidentially and no personal data will be listed on them. They will only be used in further ethically approved studies as directed by the chief investigator of this trial. ,Samples are stored confidentially and no personal data will be listed on them. They will only be used in further ethically approved studies as directed by the chief investigator of this trial. ,2019-06-25 02:27:33,2019-06-25 02:27:33,0,0,5,5,0,0
55,55,A1WYGTT2ZLGFH1,A1WYGTT2ZLGFH1,1,1,1,1,i will test to given process for our future purposes.,i will test to given process for our future purposes.,2019-06-25 03:37:30,2019-06-25 03:37:30,0,0,5,5,0,0
56,56,A1WYGTT2ZLGFH1,A1WYGTT2ZLGFH1,1,1,2,2,it is important to our respiratory system.,it is important to our respiratory system.,2019-06-25 03:39:09,2019-06-25 03:39:09,0,0,5,5,0,0
57,57,A1WYGTT2ZLGFH1,A1WYGTT2ZLGFH1,1,1,3,3,i choose the better one of the sample.,i choose the better one of the sample.,2019-06-25 03:39:48,2019-06-25 03:39:48,0,0,5,5,0,0
58,58,A1WYGTT2ZLGFH1,A1WYGTT2ZLGFH1,1,1,4,4,its is good.,its is good.,2019-06-25 03:40:49,2019-06-25 03:40:49,0,0,5,5,0,0
59,59,AZ9T4UWELND5V,AZ9T4UWELND5V,1,1,1,1,the viruses attack for humen bady ,the viruses attack for humen bady ,2019-06-25 07:12:29,2019-06-25 07:12:29,0,0,1,1,0,0
60,60,AZ9T4UWELND5V,AZ9T4UWELND5V,1,1,2,2,this is useful action,this is useful action,2019-06-25 07:13:31,2019-06-25 07:13:31,0,0,1,1,0,0
61,61,AZ9T4UWELND5V,AZ9T4UWELND5V,1,1,3,3,the action move the next level,the action move the next level,2019-06-25 07:14:27,2019-06-25 07:14:27,0,0,1,1,0,0
62,62,AZ9T4UWELND5V,AZ9T4UWELND5V,1,1,4,4,complete study,complete study,2019-06-25 07:15:41,2019-06-25 07:15:41,0,0,1,1,0,0
63,63,A1JC5HKL4T0YG7,A1JC5HKL4T0YG7,1,1,1,1,Samples from those in Group A will be analysed for viruses within an hour using the rapid test,Samples from those in Group A will be analysed for viruses within an hour using the rapid test,2019-06-25 07:47:37,2019-06-25 07:47:37,0,0,5,5,0,0
64,64,A1JC5HKL4T0YG7,A1JC5HKL4T0YG7,1,1,2,2,Your clinical team may wish to use standard testing to check for respiratory viruses,Your clinical team may wish to use standard testing to check for respiratory viruses,2019-06-25 07:48:20,2019-06-25 07:48:20,0,0,5,5,0,0
65,65,A1JC5HKL4T0YG7,A1JC5HKL4T0YG7,1,1,3,3,All participants have a right to decline all samples without affecting care or leaving the study,All participants have a right to decline all samples without affecting care or leaving the study,2019-06-25 07:49:55,2019-06-25 07:49:55,0,0,5,5,0,0
66,66,A1JC5HKL4T0YG7,A1JC5HKL4T0YG7,1,1,4,4,Samples will be kept without personal detail and used only at the direction of the chief investigator for ethically approved research,Samples will be kept without personal detail and used only at the direction of the chief investigator for ethically approved research,2019-06-25 07:51:32,2019-06-25 07:51:32,0,0,5,5,0,0
67,67,A3VRR7TNM21CQZ,A3VRR7TNM21CQZ,1,1,1,1,on 1 hour group A your samples will be analysed for many different viruses using the rapid test.,on 1 hour group A your samples will be analysed for many different viruses using the rapid test.,2019-06-25 09:10:46,2019-06-25 09:10:46,0,0,5,5,0,0
68,68,A3VRR7TNM21CQZ,A3VRR7TNM21CQZ,1,1,2,2,for standard laboratory testing they do test you for respiratory viruses because the clinical team looking after you.,for standard laboratory testing they do test you for respiratory viruses because the clinical team looking after you.,2019-06-25 09:15:27,2019-06-25 09:15:27,0,0,5,5,0,0
69,69,A3VRR7TNM21CQZ,A3VRR7TNM21CQZ,1,1,3,3,"Groups A and B the right to decline all or further research samples, this will not affect you being part of this study or the care you receive.","Groups A and B the right to decline all or further research samples, this will not affect you being part of this study or the care you receive.",2019-06-25 09:19:24,2019-06-25 09:19:24,0,0,5,5,0,0
70,70,A3VRR7TNM21CQZ,A3VRR7TNM21CQZ,1,1,4,4,the samples collected during the study are stored without any of personal details on them and further ethically approved research under the direction of the chief investigator of the study.,the samples collected during the study are stored without any of personal details on them and further ethically approved research under the direction of the chief investigator of the study.,2019-06-25 09:22:20,2019-06-25 09:22:20,0,0,5,5,0,0
71,71,ATT3V8SFXJGU,ATT3V8SFXJGU,1,1,1,1,Group A samples are analysed for viruses using the rapid test which takes approximately 1 hour.,Group A samples are analysed for viruses using the rapid test which takes approximately 1 hour.,2019-06-25 09:24:47,2019-06-25 09:24:47,0,0,5,5,0,0
72,72,ATT3V8SFXJGU,ATT3V8SFXJGU,1,1,2,2,The clinical team may wish to test you for respiratory viruses using standard laboratory testing.,The clinical team may wish to test you for respiratory viruses using standard laboratory testing.,2019-06-25 09:26:11,2019-06-25 09:26:11,0,0,5,5,0,0
73,73,ATT3V8SFXJGU,ATT3V8SFXJGU,1,1,3,3,Groups A and B have the right to decline all or any of these further research samples. This will not affect your part in this study or the care you receive.,Groups A and B have the right to decline all or any of these further research samples. This will not affect your part in this study or the care you receive.,2019-06-25 09:28:01,2019-06-25 09:28:01,0,0,5,5,0,0
74,74,ATT3V8SFXJGU,ATT3V8SFXJGU,1,1,4,4,Samples collected during the study are stored with no personal details on them. They are only used further in ethically approved research under the direction of the chief investigator.,Samples collected during the study are stored with no personal details on them. They are only used further in ethically approved research under the direction of the chief investigator.,2019-06-25 09:30:43,2019-06-25 09:30:43,0,0,5,5,0,0
75,75,A3PWMS9PPF3DC9,A3PWMS9PPF3DC9,1,1,1,1,Samples taken from Group A will be tested for various viruses. These tests will take about one hour.  ,Samples taken from Group A will be tested for various viruses. These tests will take about one hour.  ,2019-06-25 12:03:14,2019-06-25 12:03:14,0,0,5,5,0,0
76,76,A3PWMS9PPF3DC9,A3PWMS9PPF3DC9,1,1,2,2,You might be examined for respiratory viruses using standard laboratory testing. ,You might be examined for respiratory viruses using standard laboratory testing. ,2019-06-25 12:04:06,2019-06-25 12:04:06,0,0,5,5,0,0
77,77,A3PWMS9PPF3DC9,A3PWMS9PPF3DC9,1,1,3,3,All participants have the right to opt out of any part of the study without affecting the care they receive or further participation in the study.,All participants have the right to opt out of any part of the study without affecting the care they receive or further participation in the study.,2019-06-25 12:05:08,2019-06-25 12:05:08,0,0,5,5,0,0
78,78,A3PWMS9PPF3DC9,A3PWMS9PPF3DC9,1,1,4,4,"No personal details are shared on the samples collected during the study, and these are only used in an ethical manner under the supervision of the study's chief investigator. ","No personal details are shared on the samples collected during the study, and these are only used in an ethical manner under the supervision of the study's chief investigator. ",2019-06-25 12:06:11,2019-06-25 12:06:11,0,0,5,5,0,0
79,79,yo,yo,2,2,11,11,"If you agree to participate, we will analyse your information for our research.","If you agree to participate, we will analyse your information for our research.",2019-08-16 20:08:41,2019-08-16 20:08:41,123,123,1,1,0,0
80,80,yo,yo,2,2,7,7,Cancer treatment is giving people more years to live but we need to find more ways to support them.,Cancer treatment is giving people more years to live but we need to find more ways to support them.,2019-08-16 20:10:31,2019-08-16 20:10:31,123,123,1,1,0,0
81,81,yo,yo,2,2,2,2,We are a publicly funded organization and need to demonstrate that using your personal information is in the public benefit.,We are a publicly funded organization and need to demonstrate that using your personal information is in the public benefit.,2019-08-16 20:13:59,2019-08-16 20:13:59,123,123,1,1,0,0
82,82,yo2,yo2,2,2,11,11,11,11,2019-08-17 17:31:09,2019-08-17 17:31:09,123,123,21,21,0,0
83,83,yo2,yo2,2,2,7,7,7,7,2019-08-17 17:31:17,2019-08-17 17:31:17,123,123,21,21,0,0
84,84,yo2,yo2,2,2,2,2,2,2,2019-08-17 17:31:27,2019-08-17 17:31:27,123,123,21,21,0,0
85,85,yo3,yo3,3,3,24,24,24,24,2019-08-17 17:36:43,2019-08-17 17:36:43,123,123,31,31,0,0
86,86,yo3,yo3,3,3,18,18,18,18,2019-08-17 17:36:55,2019-08-17 17:36:55,123,123,31,31,0,0
87,87,yo3,yo3,3,3,15,15,15,15,2019-08-17 17:37:26,2019-08-17 17:37:26,123,123,31,31,0,0
88,88,yo4,yo4,4,4,36,36,36,36,2019-08-17 17:41:40,2019-08-17 17:41:40,123,123,41,41,0,0
89,89,yo4,yo4,4,4,32,32,32,32,2019-08-17 17:42:28,2019-08-17 17:42:28,123,123,41,41,0,0
90,90,yo4,yo4,4,4,27,27,27,27,2019-08-17 17:42:43,2019-08-17 17:42:43,123,123,41,41,0,0
91,91,A1W89GXH3DEF23,A1W89GXH3DEF23,2,2,11,11,"As part of your agreement to take part in this study, we will use your personal information to conduct and understand the study","As part of your agreement to take part in this study, we will use your personal information to conduct and understand the study",2019-08-17 18:26:06,2019-08-17 18:26:06,123,123,21,21,0,0
92,92,A1W89GXH3DEF23,A1W89GXH3DEF23,2,2,7,7,Whilst more people are living longer after treatment for cancer we are still unsure how best to support them through their recovery,Whilst more people are living longer after treatment for cancer we are still unsure how best to support them through their recovery,2019-08-17 18:28:07,2019-08-17 18:28:07,123,123,21,21,0,0
93,93,A1W89GXH3DEF23,A1W89GXH3DEF23,2,2,2,2,,,2019-08-17 18:29:25,2019-08-17 18:29:25,123,123,21,21,0,0
94,94,A1YE98BQ5QRE6X,A1YE98BQ5QRE6X,3,3,24,24,"This research will be used to develop a workshop for men with prostate cancer, using your views","This research will be used to develop a workshop for men with prostate cancer, using your views",2019-08-17 18:30:11,2019-08-17 18:30:11,123,123,31,31,0,0
95,95,A1YE98BQ5QRE6X,A1YE98BQ5QRE6X,3,3,18,18,"You will be allocated a number at the start of the survey that can identify your data, your name and address will not be recorded","You will be allocated a number at the start of the survey that can identify your data, your name and address will not be recorded",2019-08-17 18:31:02,2019-08-17 18:31:02,123,123,31,31,0,0
96,96,A1YE98BQ5QRE6X,A1YE98BQ5QRE6X,3,3,15,15,"If you have read this information and are happy to take part, then please complete the questionnaire and return it to the researcher at the workshop, or send it to the University of Southampton in the prepaid Envelope provided","If you have read this information and are happy to take part, then please complete the questionnaire and return it to the researcher at the workshop, or send it to the University of Southampton in the prepaid Envelope provided",2019-08-17 18:32:15,2019-08-17 18:32:15,123,123,31,31,0,0
97,97,A1KCKKMDKHADNC,A1KCKKMDKHADNC,3,3,24,24,The purpose of the research is to help men with prostate cancer by using your views to develop a workshop.,The purpose of the research is to help men with prostate cancer by using your views to develop a workshop.,2019-08-17 18:41:22,2019-08-17 18:41:22,123,123,31,31,0,0
98,98,A1KCKKMDKHADNC,A1KCKKMDKHADNC,3,3,18,18,You will be allocated a number at the start of the study which will identify your data. We will not use your name and address on the questionnaire.,You will be allocated a number at the start of the study which will identify your data. We will not use your name and address on the questionnaire.,2019-08-17 18:43:12,2019-08-17 18:43:12,123,123,31,31,0,0
99,99,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,11,11,This means we will use your data only to conduct and analyse the research study.,This means we will use your data only to conduct and analyse the research study.,2019-08-17 18:44:05,2019-08-17 18:44:05,123,123,21,21,0,0
100,100,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,7,7,"As more people than ever live longer thanks to cancer treatment, we still need to improve their after care.","As more people than ever live longer thanks to cancer treatment, we still need to improve their after care.",2019-08-17 18:45:05,2019-08-17 18:45:05,123,123,21,21,0,0
101,101,A1KCKKMDKHADNC,A1KCKKMDKHADNC,3,3,15,15,"if you are happy to take part after reading this information, please complete it and return it to us at the workshop or post it to the University of Southampton in the pre-paid envelope provided.","if you are happy to take part after reading this information, please complete it and return it to us at the workshop or post it to the University of Southampton in the pre-paid envelope provided.",2019-08-17 18:45:09,2019-08-17 18:45:09,123,123,31,31,0,0
102,102,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,2,2,We are a publicly funded organisation that ensures that the information you provide is only used in the public interest.,We are a publicly funded organisation that ensures that the information you provide is only used in the public interest.,2019-08-17 18:46:57,2019-08-17 18:46:57,123,123,21,21,0,0
103,103,AUZUHON52J10U,AUZUHON52J10U,4,4,36,36,"If you are experiencing any difficulty, we can provide contact details where you can get support.","If you are experiencing any difficulty, we can provide contact details where you can get support.",2019-08-17 19:09:15,2019-08-17 19:09:15,123,123,41,41,0,0
104,104,AUZUHON52J10U,AUZUHON52J10U,4,4,32,32,All patients will have been diagnosed with localised prostrate cancer which has been confined to the prostrate.,All patients will have been diagnosed with localised prostrate cancer which has been confined to the prostrate.,2019-08-17 19:12:13,2019-08-17 19:12:13,123,123,41,41,0,0
105,105,AEQ0FXD00UB2Z,AEQ0FXD00UB2Z,4,4,36,36,"If any aspect of your experience has been difficult, we can provide you with details to access additional support.","If any aspect of your experience has been difficult, we can provide you with details to access additional support.",2019-08-17 19:19:22,2019-08-17 19:19:22,123,123,41,41,0,0
106,106,AUZUHON52J10U,AUZUHON52J10U,4,4,27,27,"Only University of Southampton staff that need to will have access to information about you, for example if they need to correspond with you or work on trial data. ","Only University of Southampton staff that need to will have access to information about you, for example if they need to correspond with you or work on trial data. ",2019-08-17 19:19:50,2019-08-17 19:19:50,123,123,41,41,0,0
107,107,AEQ0FXD00UB2Z,AEQ0FXD00UB2Z,4,4,32,32,Patients will have had a diagnosis of localised prostate cancer (cancer confined to the prostate and hasn't spread).,Patients will have had a diagnosis of localised prostate cancer (cancer confined to the prostate and hasn't spread).,2019-08-17 19:20:56,2019-08-17 19:20:56,123,123,41,41,0,0
108,108,A3C8ZNF3VB5PA1,A3C8ZNF3VB5PA1,4,4,36,36,"If you are finding aspects of your experience difficult, details of where to get support may be provided","If you are finding aspects of your experience difficult, details of where to get support may be provided",2019-08-17 19:22:43,2019-08-17 19:22:43,123,123,41,41,0,0
109,109,AEQ0FXD00UB2Z,AEQ0FXD00UB2Z,4,4,27,27,"The only people at the University of Southampton who will have access to your information, will be those that need to contact you for questionnaires, processing and analysing data or auditing the data collection process.","The only people at the University of Southampton who will have access to your information, will be those that need to contact you for questionnaires, processing and analysing data or auditing the data collection process.",2019-08-17 19:23:41,2019-08-17 19:23:41,123,123,41,41,0,0
