idRanking,0,RID,1,idReviser,2,idLeaflet,3,idSentence,4,crwRevision,5,dateT,6,g,7,flag,8,revSent1,9,revSent2,10,revSent3,11,revSent4,12,revSent5,13,revSent6,14,revSent7,15,revSent8,16,revSent9,17
17,17,187,187,yo,yo,2,2,222,222,A growing number of people are living for many years after cancer treatment but we don`t yet know all the ways to support them to ensure the best possible recovery.,A growing number of people are living for many years after cancer treatment but we don`t yet know all the ways to support them to ensure the best possible recovery.,2019-11-26 16:37:16,2019-11-26 16:37:16,6219,6219,6219,6219,8,8,4,4,5,5,3,3,1,1,2,2,9,9,2,2,7,7
18,18,831,831,yo,yo,2,2,2112,2112,"We will inform your GP that you are taking part in this study, and may contact your GP before mailing out the follow up questionnaire in case your details have changed or you have moved.","We will inform your GP that you are taking part in this study, and may contact your GP before mailing out the follow up questionnaire in case your details have changed or you have moved.",2019-11-26 16:46:18,2019-11-26 16:46:18,6219,6219,6219,6219,2,2,6,6,1,1,8,8,9,9,3,3,7,7,5,5,4,4
19,19,1759,1759,yo3,yo3,3,3,312,312,Part of the Care Programme will be a workshop for men with prostate cancer which will help them better manage any prostate cancer related issues they have.,Part of the Care Programme will be a workshop for men with prostate cancer which will help them better manage any prostate cancer related issues they have.,2019-11-26 17:32:55,2019-11-26 17:32:55,6319,6319,6319,6319,78,78,34,34,89,89,45,45,56,56,23,23,67,67,12,12,1,1
20,20,571,571,yo3,yo3,3,3,319,319,"No, taking part in this research is voluntary and your medical care will not be affected if you decide you do not wish to take part.","No, taking part in this research is voluntary and your medical care will not be affected if you decide you do not wish to take part.",2019-11-26 17:33:36,2019-11-26 17:33:36,6319,6319,6319,6319,1,1,23,23,-81,-81,33,33,11,11,45,45,69,69,79,79,55,55
21,21,217,217,yo3,yo3,3,3,359,359,"If, having read this information, you are happy to take part, please complete the questionnaire and return it to the researcher at the workshop, or send it to us at the University of Southampton in the pre-paid envelope provided.","If, having read this information, you are happy to take part, please complete the questionnaire and return it to the researcher at the workshop, or send it to us at the University of Southampton in the pre-paid envelope provided.",2019-11-26 17:41:34,2019-11-26 17:41:34,6319,6319,6319,6319,-1,-1,37,37,73,73,82,82,19,19,55,55,46,46,64,64,28,28
22,22,347,347,yo2,yo2,2,2,2112,2112,"We will inform your GP that you are taking part in this study, and may contact your GP before mailing out the follow up questionnaire in case your details have changed or you have moved.","We will inform your GP that you are taking part in this study, and may contact your GP before mailing out the follow up questionnaire in case your details have changed or you have moved.",2019-11-26 18:10:07,2019-11-26 18:10:07,6219,6219,6219,6219,1,1,23,23,12,12,67,67,45,45,89,89,56,56,78,78,34,34
23,23,653,653,yo4,yo4,4,4,406,406,The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have.,The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have.,2019-11-26 18:23:01,2019-11-26 18:23:01,6419,6419,6419,6419,1,1,56,56,67,67,89,89,45,45,23,23,78,78,34,34,12,12
24,24,543,543,yo4,yo4,4,4,472,472, Your hospital will keep identifiable information about you from this study for 10 years after the study has finished., Your hospital will keep identifiable information about you from this study for 10 years after the study has finished.,2019-11-26 18:26:35,2019-11-26 18:26:35,6419,6419,6419,6419,37,37,55,55,46,46,-1,-1,73,73,82,82,19,19,28,28,64,64
25,25,653,653,yo4,yo4,4,4,406,406,The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have.,The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have.,2019-11-26 18:40:32,2019-11-26 18:40:32,6419,6419,6419,6419,34,34,45,45,12,12,89,89,78,78,1,1,67,67,23,23,56,56
26,26,187,187,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,222,222,A growing number of people are living for many years after cancer treatment but we don`t yet know all the ways to support them to ensure the best possible recovery.,A growing number of people are living for many years after cancer treatment but we don`t yet know all the ways to support them to ensure the best possible recovery.,2019-11-26 18:46:56,2019-11-26 18:46:56,6219,6219,6219,6219,5,5,73,73,51,51,69,69,16,16,28,28,82,82,37,37,44,44
27,27,508,508,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,227,227,"Other studies collect data about people from their medical and hospital records, but we believe it is important to find out about your health and well-being from your perspective through your responses to questionnaires.","Other studies collect data about people from their medical and hospital records, but we believe it is important to find out about your health and well-being from your perspective through your responses to questionnaires.",2019-11-26 18:47:58,2019-11-26 18:47:58,6219,6219,6219,6219,7,7,42,42,79,79,64,64,36,36,15,15,21,21,53,53,88,88
28,28,1563,1563,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,232,232,"After you have read the information sheet and have had your questions answered, you will be asked whether you are happy to take part in the study.","After you have read the information sheet and have had your questions answered, you will be asked whether you are happy to take part in the study.",2019-11-26 18:48:50,2019-11-26 18:48:50,6219,6219,6219,6219,42,42,29,29,56,56,75,75,31,31,4,4,88,88,67,67,13,13
29,29,483,483,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,234,234,You can complete the questionnaire during your hospital visit and hand it to the nurse or researcher or you can take it home to complete and return in the pre-paid envelope.,You can complete the questionnaire during your hospital visit and hand it to the nurse or researcher or you can take it home to complete and return in the pre-paid envelope.,2019-11-26 18:49:59,2019-11-26 18:49:59,6219,6219,6219,6219,37,37,2,2,73,73,16,16,88,88,43,43,51,51,24,24,65,65
30,30,254,254,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,263,263,"As a publicly funded organisation, we have to ensure that it is in the public interest when we use personally identifiable information from people who have agreed to take part in research.","As a publicly funded organisation, we have to ensure that it is in the public interest when we use personally identifiable information from people who have agreed to take part in research.",2019-11-26 18:51:07,2019-11-26 18:51:07,6219,6219,6219,6219,74,74,68,68,22,22,57,57,-41,-41,1,1,83,83,15,15,36,36
31,31,279,279,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,264,264,"This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.",2019-11-26 18:52:04,2019-11-26 18:52:04,6219,6219,6219,6219,6,6,68,68,52,52,13,13,24,24,79,79,87,87,31,31,45,45
32,32,234,234,A1UMPNWW0WHCV7,A1UMPNWW0WHCV7,2,2,222,222,A growing number of people are living for many years after cancer treatment but we don`t yet know all the ways to support them to ensure the best possible recovery.,A growing number of people are living for many years after cancer treatment but we don`t yet know all the ways to support them to ensure the best possible recovery.,2019-11-26 18:52:17,2019-11-26 18:52:17,6219,6219,6219,6219,81,81,25,25,54,54,69,69,12,12,6,6,33,33,79,79,42,42
33,33,990,990,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,283,283,"When you agree to take part in a research study, the information about your health and care may be provided to researchers running other research studies in this organisation and in other organisations.","When you agree to take part in a research study, the information about your health and care may be provided to researchers running other research studies in this organisation and in other organisations.",2019-11-26 18:53:09,2019-11-26 18:53:09,6219,6219,6219,6219,5,5,-71,-71,18,18,82,82,43,43,37,37,24,24,61,61,56,56
34,34,909,909,A1UMPNWW0WHCV7,A1UMPNWW0WHCV7,2,2,227,227,"Other studies collect data about people from their medical and hospital records, but we believe it is important to find out about your health and well-being from your perspective through your responses to questionnaires.","Other studies collect data about people from their medical and hospital records, but we believe it is important to find out about your health and well-being from your perspective through your responses to questionnaires.",2019-11-26 18:53:31,2019-11-26 18:53:31,6219,6219,6219,6219,61,61,21,21,4,4,55,55,42,42,13,13,-71,-71,-81,-81,32,32
35,35,1361,1361,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,2100,2100,"If you have agreed for us to collect routine NHS data this will be tracked using your NHS and hospital numbers, but your name will be removed.","If you have agreed for us to collect routine NHS data this will be tracked using your NHS and hospital numbers, but your name will be removed.",2019-11-26 18:54:17,2019-11-26 18:54:17,6219,6219,6219,6219,44,44,12,12,56,56,35,35,9,9,28,28,73,73,87,87,61,61
36,36,1501,1501,A1UMPNWW0WHCV7,A1UMPNWW0WHCV7,2,2,232,232,"After you have read the information sheet and have had your questions answered, you will be asked whether you are happy to take part in the study.","After you have read the information sheet and have had your questions answered, you will be asked whether you are happy to take part in the study.",2019-11-26 18:54:30,2019-11-26 18:54:30,6219,6219,6219,6219,42,42,7,7,73,73,12,12,31,31,84,84,22,22,63,63,52,52
37,37,755,755,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,2112,2112,"We will inform your GP that you are taking part in this study, and may contact your GP before mailing out the follow up questionnaire in case your details have changed or you have moved.","We will inform your GP that you are taking part in this study, and may contact your GP before mailing out the follow up questionnaire in case your details have changed or you have moved.",2019-11-26 18:55:20,2019-11-26 18:55:20,6219,6219,6219,6219,36,36,51,51,67,67,89,89,73,73,14,14,5,5,42,42,28,28
38,38,483,483,A1UMPNWW0WHCV7,A1UMPNWW0WHCV7,2,2,234,234,You can complete the questionnaire during your hospital visit and hand it to the nurse or researcher or you can take it home to complete and return in the pre-paid envelope.,You can complete the questionnaire during your hospital visit and hand it to the nurse or researcher or you can take it home to complete and return in the pre-paid envelope.,2019-11-26 18:55:33,2019-11-26 18:55:33,6219,6219,6219,6219,12,12,-61,-61,74,74,22,22,-81,-81,3,3,42,42,32,32,51,51
39,39,309,309,A1UMPNWW0WHCV7,A1UMPNWW0WHCV7,2,2,263,263,"As a publicly funded organisation, we have to ensure that it is in the public interest when we use personally identifiable information from people who have agreed to take part in research.","As a publicly funded organisation, we have to ensure that it is in the public interest when we use personally identifiable information from people who have agreed to take part in research.",2019-11-26 18:56:49,2019-11-26 18:56:49,6219,6219,6219,6219,46,46,82,82,-21,-21,5,5,-11,-11,52,52,62,62,-71,-71,33,33
40,40,1191,1191,A1UMPNWW0WHCV7,A1UMPNWW0WHCV7,2,2,264,264,"This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.",2019-11-26 18:57:41,2019-11-26 18:57:41,6219,6219,6219,6219,52,52,12,12,1,1,62,62,85,85,74,74,46,46,32,32,26,26
41,41,866,866,A1UMPNWW0WHCV7,A1UMPNWW0WHCV7,2,2,283,283,"When you agree to take part in a research study, the information about your health and care may be provided to researchers running other research studies in this organisation and in other organisations.","When you agree to take part in a research study, the information about your health and care may be provided to researchers running other research studies in this organisation and in other organisations.",2019-11-26 18:58:43,2019-11-26 18:58:43,6219,6219,6219,6219,12,12,-41,-41,2,2,31,31,54,54,63,63,82,82,72,72,22,22
42,42,1834,1834,A1UMPNWW0WHCV7,A1UMPNWW0WHCV7,2,2,2100,2100,"If you have agreed for us to collect routine NHS data this will be tracked using your NHS and hospital numbers, but your name will be removed.","If you have agreed for us to collect routine NHS data this will be tracked using your NHS and hospital numbers, but your name will be removed.",2019-11-26 18:59:38,2019-11-26 18:59:38,6219,6219,6219,6219,45,45,15,15,23,23,4,4,33,33,83,83,62,62,72,72,51,51
43,43,347,347,A1UMPNWW0WHCV7,A1UMPNWW0WHCV7,2,2,2112,2112,"We will inform your GP that you are taking part in this study, and may contact your GP before mailing out the follow up questionnaire in case your details have changed or you have moved.","We will inform your GP that you are taking part in this study, and may contact your GP before mailing out the follow up questionnaire in case your details have changed or you have moved.",2019-11-26 19:00:52,2019-11-26 19:00:52,6219,6219,6219,6219,3,3,32,32,52,52,23,23,41,41,83,83,15,15,62,62,73,73
44,44,234,234,A3RDGO9R44A23Q,A3RDGO9R44A23Q,2,2,222,222,A growing number of people are living for many years after cancer treatment but we don`t yet know all the ways to support them to ensure the best possible recovery.,A growing number of people are living for many years after cancer treatment but we don`t yet know all the ways to support them to ensure the best possible recovery.,2019-11-26 19:40:28,2019-11-26 19:40:28,6219,6219,6219,6219,87,87,-31,-31,76,76,52,52,63,63,11,11,24,24,45,45,-1,-1
45,45,1241,1241,A7X2K7IW80TBU,A7X2K7IW80TBU,4,4,406,406,The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have.,The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have.,2019-11-26 19:41:06,2019-11-26 19:41:06,6419,6419,6419,6419,4,4,68,68,13,13,47,47,22,22,31,31,-71,-71,85,85,56,56
46,46,400,400,A3RDGO9R44A23Q,A3RDGO9R44A23Q,2,2,227,227,"Other studies collect data about people from their medical and hospital records, but we believe it is important to find out about your health and well-being from your perspective through your responses to questionnaires.","Other studies collect data about people from their medical and hospital records, but we believe it is important to find out about your health and well-being from your perspective through your responses to questionnaires.",2019-11-26 19:42:45,2019-11-26 19:42:45,6219,6219,6219,6219,47,47,63,63,56,56,-81,-81,11,11,2,2,-71,-71,24,24,35,35
47,47,661,661,A7X2K7IW80TBU,A7X2K7IW80TBU,4,4,411,411,We will be asking participants to complete questionnaires to find out how men’s health and well-being is after diagnosis and treatment.,We will be asking participants to complete questionnaires to find out how men’s health and well-being is after diagnosis and treatment.,2019-11-26 19:43:03,2019-11-26 19:43:03,6419,6419,6419,6419,15,15,32,32,67,67,4,4,56,56,-71,-71,21,21,43,43,88,88
48,48,725,725,A3RDGO9R44A23Q,A3RDGO9R44A23Q,2,2,232,232,"After you have read the information sheet and have had your questions answered, you will be asked whether you are happy to take part in the study.","After you have read the information sheet and have had your questions answered, you will be asked whether you are happy to take part in the study.",2019-11-26 19:43:37,2019-11-26 19:43:37,6219,6219,6219,6219,2,2,88,88,34,34,67,67,21,21,55,55,-41,-41,13,13,76,76
49,49,143,143,A7X2K7IW80TBU,A7X2K7IW80TBU,4,4,416,416,Patients will have had a diagnosis of localised prostate cancer (cancer is confined to the prostate and hasn’t spread anywhere else in the body).,Patients will have had a diagnosis of localised prostate cancer (cancer is confined to the prostate and hasn’t spread anywhere else in the body).,2019-11-26 19:44:10,2019-11-26 19:44:10,6419,6419,6419,6419,46,46,68,68,59,59,77,77,24,24,35,35,1,1,13,13,82,82
50,50,996,996,A3RDGO9R44A23Q,A3RDGO9R44A23Q,2,2,234,234,You can complete the questionnaire during your hospital visit and hand it to the nurse or researcher or you can take it home to complete and return in the pre-paid envelope.,You can complete the questionnaire during your hospital visit and hand it to the nurse or researcher or you can take it home to complete and return in the pre-paid envelope.,2019-11-26 19:45:32,2019-11-26 19:45:32,6219,6219,6219,6219,44,44,-1,-1,87,87,33,33,-71,-71,66,66,12,12,55,55,21,21
51,51,1399,1399,A7X2K7IW80TBU,A7X2K7IW80TBU,4,4,418,418,We are interested in how a diagnosis of prostate cancer and its treatment affects a person’s health and well-being.,We are interested in how a diagnosis of prostate cancer and its treatment affects a person’s health and well-being.,2019-11-26 19:46:06,2019-11-26 19:46:06,6419,6419,6419,6419,-81,-81,71,71,36,36,62,62,47,47,54,54,28,28,15,15,3,3
52,52,226,226,A3RDGO9R44A23Q,A3RDGO9R44A23Q,2,2,263,263,"As a publicly funded organisation, we have to ensure that it is in the public interest when we use personally identifiable information from people who have agreed to take part in research.","As a publicly funded organisation, we have to ensure that it is in the public interest when we use personally identifiable information from people who have agreed to take part in research.",2019-11-26 19:46:52,2019-11-26 19:46:52,6219,6219,6219,6219,-21,-21,76,76,-51,-51,11,11,-81,-81,34,34,3,3,45,45,62,62
53,53,641,641,A7X2K7IW80TBU,A7X2K7IW80TBU,4,4,433,433,"We are also gathering information for the TrueNTH Global Registry project that is routinely collected by the NHS, such as clinical and treatment details both through medical records and national databases such as the Health and Social Care Information Centre and other central UK bodies.","We are also gathering information for the TrueNTH Global Registry project that is routinely collected by the NHS, such as clinical and treatment details both through medical records and national databases such as the Health and Social Care Information Centre and other central UK bodies.",2019-11-26 19:47:15,2019-11-26 19:47:15,6419,6419,6419,6419,9,9,75,75,17,17,54,54,68,68,81,81,26,26,32,32,43,43
54,54,1382,1382,A7X2K7IW80TBU,A7X2K7IW80TBU,4,4,450,450,"If you are finding any aspect of your experience difficult, we can also provide you with details of where you might get more support.","If you are finding any aspect of your experience difficult, we can also provide you with details of where you might get more support.",2019-11-26 19:48:30,2019-11-26 19:48:30,6419,6419,6419,6419,52,52,87,87,46,46,79,79,5,5,64,64,11,11,23,23,-31,-31
55,55,1326,1326,A3RDGO9R44A23Q,A3RDGO9R44A23Q,2,2,264,264,"This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.",2019-11-26 19:48:33,2019-11-26 19:48:33,6219,6219,6219,6219,-1,-1,51,51,88,88,43,43,34,34,66,66,15,15,22,22,77,77
56,56,735,735,A3RDGO9R44A23Q,A3RDGO9R44A23Q,2,2,283,283,"When you agree to take part in a research study, the information about your health and care may be provided to researchers running other research studies in this organisation and in other organisations.","When you agree to take part in a research study, the information about your health and care may be provided to researchers running other research studies in this organisation and in other organisations.",2019-11-26 19:49:34,2019-11-26 19:49:34,6219,6219,6219,6219,-81,-81,-41,-41,22,22,76,76,55,55,4,4,61,61,37,37,13,13
57,57,588,588,A7X2K7IW80TBU,A7X2K7IW80TBU,4,4,455,455,"Processing your information for trials is necessary for the performance of a task carried out in the public interest (General Data Protection Regulation (GDPR) Article 6(1)(e)) and under Article 9(2)(j) necessary for archiving purposes in the public interest, scientific or historical research purposes in accordance with Article 89 (1).","Processing your information for trials is necessary for the performance of a task carried out in the public interest (General Data Protection Regulation (GDPR) Article 6(1)(e)) and under Article 9(2)(j) necessary for archiving purposes in the public interest, scientific or historical research purposes in accordance with Article 89 (1).",2019-11-26 19:49:38,2019-11-26 19:49:38,6419,6419,6419,6419,11,11,78,78,35,35,4,4,26,26,49,49,82,82,67,67,53,53
58,58,109,109,A7X2K7IW80TBU,A7X2K7IW80TBU,4,4,470,470,"The only people in the University of Southampton who will have access to information that identifies you will be people who need to contact you to send or request questionnaires, process and analyse your data, or audit the data collection process.","The only people in the University of Southampton who will have access to information that identifies you will be people who need to contact you to send or request questionnaires, process and analyse your data, or audit the data collection process.",2019-11-26 19:50:54,2019-11-26 19:50:54,6419,6419,6419,6419,66,66,34,34,9,9,45,45,13,13,88,88,51,51,77,77,22,22
59,59,1330,1330,A3RDGO9R44A23Q,A3RDGO9R44A23Q,2,2,2100,2100,"If you have agreed for us to collect routine NHS data this will be tracked using your NHS and hospital numbers, but your name will be removed.","If you have agreed for us to collect routine NHS data this will be tracked using your NHS and hospital numbers, but your name will be removed.",2019-11-26 19:51:03,2019-11-26 19:51:03,6219,6219,6219,6219,12,12,-41,-41,85,85,33,33,-71,-71,-21,-21,66,66,54,54,1,1
60,60,835,835,A3RDGO9R44A23Q,A3RDGO9R44A23Q,2,2,2112,2112,"We will inform your GP that you are taking part in this study, and may contact your GP before mailing out the follow up questionnaire in case your details have changed or you have moved.","We will inform your GP that you are taking part in this study, and may contact your GP before mailing out the follow up questionnaire in case your details have changed or you have moved.",2019-11-26 19:51:29,2019-11-26 19:51:29,6219,6219,6219,6219,88,88,77,77,3,3,-21,-21,31,31,65,65,12,12,56,56,44,44
61,61,638,638,A2LI65T29I493R,A2LI65T29I493R,4,4,406,406,The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have.,The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have.,2019-11-26 19:55:06,2019-11-26 19:55:06,6419,6419,6419,6419,49,49,-21,-21,65,65,38,38,73,73,82,82,12,12,57,57,1,1
62,62,359,359,A2LI65T29I493R,A2LI65T29I493R,4,4,411,411,We will be asking participants to complete questionnaires to find out how men’s health and well-being is after diagnosis and treatment.,We will be asking participants to complete questionnaires to find out how men’s health and well-being is after diagnosis and treatment.,2019-11-26 19:56:15,2019-11-26 19:56:15,6419,6419,6419,6419,1,1,86,86,71,71,49,49,27,27,12,12,63,63,38,38,54,54
63,63,286,286,A2LI65T29I493R,A2LI65T29I493R,4,4,416,416,Patients will have had a diagnosis of localised prostate cancer (cancer is confined to the prostate and hasn’t spread anywhere else in the body).,Patients will have had a diagnosis of localised prostate cancer (cancer is confined to the prostate and hasn’t spread anywhere else in the body).,2019-11-26 19:58:13,2019-11-26 19:58:13,6419,6419,6419,6419,75,75,11,11,41,41,25,25,87,87,62,62,1,1,38,38,-51,-51
64,64,1818,1818,A2LI65T29I493R,A2LI65T29I493R,4,4,418,418,We are interested in how a diagnosis of prostate cancer and its treatment affects a person’s health and well-being.,We are interested in how a diagnosis of prostate cancer and its treatment affects a person’s health and well-being.,2019-11-26 19:59:20,2019-11-26 19:59:20,6419,6419,6419,6419,29,29,55,55,48,48,33,33,16,16,7,7,63,63,-81,-81,75,75
65,65,658,658,A2LI65T29I493R,A2LI65T29I493R,4,4,433,433,"We are also gathering information for the TrueNTH Global Registry project that is routinely collected by the NHS, such as clinical and treatment details both through medical records and national databases such as the Health and Social Care Information Centre and other central UK bodies.","We are also gathering information for the TrueNTH Global Registry project that is routinely collected by the NHS, such as clinical and treatment details both through medical records and national databases such as the Health and Social Care Information Centre and other central UK bodies.",2019-11-26 20:00:46,2019-11-26 20:00:46,6419,6419,6419,6419,65,65,1,1,39,39,41,41,83,83,-71,-71,23,23,51,51,12,12
66,66,1246,1246,A2LI65T29I493R,A2LI65T29I493R,4,4,450,450,"If you are finding any aspect of your experience difficult, we can also provide you with details of where you might get more support.","If you are finding any aspect of your experience difficult, we can also provide you with details of where you might get more support.",2019-11-26 20:03:57,2019-11-26 20:03:57,6419,6419,6419,6419,36,36,48,48,-71,-71,-61,-61,27,27,19,19,55,55,83,83,-1,-1
67,67,281,281,AYL3SQMR8E5W9,AYL3SQMR8E5W9,2,2,222,222,A growing number of people are living for many years after cancer treatment but we don`t yet know all the ways to support them to ensure the best possible recovery.,A growing number of people are living for many years after cancer treatment but we don`t yet know all the ways to support them to ensure the best possible recovery.,2019-11-26 20:05:49,2019-11-26 20:05:49,6219,6219,6219,6219,45,45,-81,-81,16,16,28,28,4,4,61,61,32,32,53,53,77,77
68,68,372,372,A7X2K7IW80TBU,A7X2K7IW80TBU,4,4,472,472, Your hospital will keep identifiable information about you from this study for 10 years after the study has finished., Your hospital will keep identifiable information about you from this study for 10 years after the study has finished.,2019-11-26 20:05:50,2019-11-26 20:05:50,6419,6419,6419,6419,26,26,52,52,18,18,81,81,73,73,64,64,-41,-41,35,35,7,7
69,69,604,604,A2LI65T29I493R,A2LI65T29I493R,4,4,455,455,"Processing your information for trials is necessary for the performance of a task carried out in the public interest (General Data Protection Regulation (GDPR) Article 6(1)(e)) and under Article 9(2)(j) necessary for archiving purposes in the public interest, scientific or historical research purposes in accordance with Article 89 (1).","Processing your information for trials is necessary for the performance of a task carried out in the public interest (General Data Protection Regulation (GDPR) Article 6(1)(e)) and under Article 9(2)(j) necessary for archiving purposes in the public interest, scientific or historical research purposes in accordance with Article 89 (1).",2019-11-26 20:06:31,2019-11-26 20:06:31,6419,6419,6419,6419,37,37,65,65,83,83,8,8,42,42,11,11,74,74,56,56,29,29
