idKwdQs,0,idReviser,1,idLeaflet,2,kwdQs1,3,kwdQs2,4,kwdQs3,5,kwdQs4,6,dateT,7,flag,8,idGroup,9
18,18,A3Q4QMSBUWLKCT,A3Q4QMSBUWLKCT,1,1,"National health service","National health service","Respiratory clinical trials ","Respiratory clinical trials ","General practitioner ","General practitioner ","Payment protection insurance ","Payment protection insurance ","2019-06-25 00:26:15","2019-06-25 00:26:15",0,0,1,1
19,19,A23KNYW5XJ9FKD,A23KNYW5XJ9FKD,1,1,"National Health Service","National Health Service","randomised control trial","randomised control trial","general practitioner","general practitioner","You may mean a proton-pump inhibitor, or payment protection insurance!","You may mean a proton-pump inhibitor, or payment protection insurance!","2019-06-25 01:39:49","2019-06-25 01:39:49",0,0,5,5
20,20,A1D0MQX51WOV57,A1D0MQX51WOV57,1,1,health,health,god,god,care,care,performance,performance,"2019-06-25 01:51:29","2019-06-25 01:51:29",0,0,5,5
21,21,A1V5E5D0BNLYHM,A1V5E5D0BNLYHM,1,1,"National Health Service","National Health Service","Register of Clinical Technologists ","Register of Clinical Technologists ","General Practitioner","General Practitioner","Patients and public involvement","Patients and public involvement","2019-06-25 02:30:32","2019-06-25 02:30:32",0,0,5,5
22,22,,,,,,,,,,,,,"2019-06-25 02:42:37","2019-06-25 02:42:37",,,0,0
23,23,A1WYGTT2ZLGFH1,A1WYGTT2ZLGFH1,1,1,"National Health Service","National Health Service","Randomized Controlled Trial","Randomized Controlled Trial","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-06-25 03:45:37","2019-06-25 03:45:37",0,0,5,5
24,24,AZ9T4UWELND5V,AZ9T4UWELND5V,1,1,"NATIONAL HEALTH SERVICE","NATIONAL HEALTH SERVICE","RANDAMIZED CONTROLLED TRIAL","RANDAMIZED CONTROLLED TRIAL","GENERAL PRACTITIONRS","GENERAL PRACTITIONRS","PROTON PUMP INHIBITORS","PROTON PUMP INHIBITORS","2019-06-25 07:18:33","2019-06-25 07:18:33",0,0,1,1
25,25,A1JC5HKL4T0YG7,A1JC5HKL4T0YG7,1,1,"National Health Service","National Health Service","Randomised Controlled Trial","Randomised Controlled Trial","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-06-25 07:52:33","2019-06-25 07:52:33",0,0,5,5
26,26,A3VRR7TNM21CQZ,A3VRR7TNM21CQZ,1,1,"NATIONAL HEALTH SERVICE","NATIONAL HEALTH SERVICE","RANDOMIZED CONTROLLED TRIAL","RANDOMIZED CONTROLLED TRIAL","GENERAL PRACTITIONER","GENERAL PRACTITIONER","PAY PER LEAD","PAY PER LEAD","2019-06-25 09:27:27","2019-06-25 09:27:27",0,0,5,5
27,27,ATT3V8SFXJGU,ATT3V8SFXJGU,1,1,"National Health Service","National Health Service","Randomised Controlled Trial","Randomised Controlled Trial","General Practitioner","General Practitioner","Proton Pump Inhibitor","Proton Pump Inhibitor","2019-06-25 09:32:39","2019-06-25 09:32:39",0,0,5,5
28,28,A3PWMS9PPF3DC9,A3PWMS9PPF3DC9,1,1,"National Health Service","National Health Service","Royal Council Treatment","Royal Council Treatment","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-06-25 12:07:16","2019-06-25 12:07:16",0,0,5,5
29,29,yo,yo,2,2,"National Health Service","National Health Service","Randomized Controlled Trial","Randomized Controlled Trial","General Practitionner","General Practitionner","Patient and Public Involvement","Patient and Public Involvement","2019-08-16 20:15:01","2019-08-16 20:15:01",123,123,1,1
30,30,yo2,yo2,2,2,nhs,nhs,rct,rct,gp,gp,ppi,ppi,"2019-08-17 17:31:54","2019-08-17 17:31:54",123,123,21,21
31,31,yo3,yo3,3,3,nhs,nhs,rct,rct,gp,gp,ppi,ppi,"2019-08-17 17:37:49","2019-08-17 17:37:49",123,123,31,31
32,32,yo4,yo4,4,4,nhs,nhs,rct,rct,gp,gp,ppi,ppi,"2019-08-17 17:43:04","2019-08-17 17:43:04",123,123,41,41
33,33,A1W89GXH3DEF23,A1W89GXH3DEF23,2,2,"National Health Service","National Health Service","Randomised controlled triall","Randomised controlled triall","General Practitioner ","General Practitioner ","Public Protection Insurance","Public Protection Insurance","2019-08-17 18:30:33","2019-08-17 18:30:33",123,123,21,21
34,34,A1YE98BQ5QRE6X,A1YE98BQ5QRE6X,3,3,"National Health Service","National Health Service","Don't Know","Don't Know","General Practitioner","General Practitioner","Payment Protection insurance","Payment Protection insurance","2019-08-17 18:32:58","2019-08-17 18:32:58",123,123,31,31
35,35,A1KCKKMDKHADNC,A1KCKKMDKHADNC,3,3,"National Health Service","National Health Service","Randomised Controlled Trial","Randomised Controlled Trial","General Practitioner","General Practitioner","Payment Protection Insurance ","Payment Protection Insurance ","2019-08-17 18:47:32","2019-08-17 18:47:32",123,123,31,31
36,36,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,"National Health Service","National Health Service","Randomised Controlled Trial","Randomised Controlled Trial","Genera Practicioner","Genera Practicioner","Personal and Public Involvement","Personal and Public Involvement","2019-08-17 18:48:47","2019-08-17 18:48:47",123,123,21,21
37,37,AUZUHON52J10U,AUZUHON52J10U,4,4,"National Health Service","National Health Service","Randomised Control  Trial","Randomised Control  Trial","Gemeral Practitioner","Gemeral Practitioner","Proton Pump Inhibitor","Proton Pump Inhibitor","2019-08-17 19:23:27","2019-08-17 19:23:27",123,123,41,41
38,38,A3C8ZNF3VB5PA1,A3C8ZNF3VB5PA1,4,4,"National Helath Service","National Helath Service",,,"General Practicioner","General Practicioner","Payment protection insurance","Payment protection insurance","2019-08-17 19:26:00","2019-08-17 19:26:00",123,123,41,41
39,39,AEQ0FXD00UB2Z,AEQ0FXD00UB2Z,4,4,"National Health Service","National Health Service","Randomised Clinical Trial","Randomised Clinical Trial","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-08-17 19:26:09","2019-08-17 19:26:09",123,123,41,41
40,40,A13X3J8SIYBVWI,A13X3J8SIYBVWI,3,3,"National Health Service","National Health Service","Randomised clinical trial","Randomised clinical trial","General Practitioner ","General Practitioner ","Payment protection insurance ","Payment protection insurance ","2019-08-17 19:31:23","2019-08-17 19:31:23",123,123,31,31
41,41,A2SUEKUXDG7IJ6,A2SUEKUXDG7IJ6,3,3,"National Health Service","National Health Service","Do not know","Do not know","General Practitioner","General Practitioner","Payment Protection Insuarance","Payment Protection Insuarance","2019-08-17 19:47:10","2019-08-17 19:47:10",123,123,31,31
42,42,A29HORM8VKJ6O0,A29HORM8VKJ6O0,2,2,"National Health Service","National Health Service","Randomized Control Trial","Randomized Control Trial","General Practitioner","General Practitioner","Personal Protection Insurance","Personal Protection Insurance","2019-08-17 19:49:03","2019-08-17 19:49:03",123,123,21,21
43,43,A2JRUPX8NNMAI2,A2JRUPX8NNMAI2,3,3,"National Health Service","National Health Service","Not sure","Not sure","General Practitioner","General Practitioner","Not sure","Not sure","2019-08-17 19:50:16","2019-08-17 19:50:16",123,123,31,31
44,44,A24NYP336X0LCJ,A24NYP336X0LCJ,2,2,"NATIONALHEALTH SERVICE","NATIONALHEALTH SERVICE","RANDOMISED CONTROLED TRIAL","RANDOMISED CONTROLED TRIAL","GENERAL PRACTITIONER","GENERAL PRACTITIONER","PROTON PUMPINHIBITOR?","PROTON PUMPINHIBITOR?","2019-08-17 19:59:53","2019-08-17 19:59:53",123,123,21,21
45,45,A29HORM8VKJ6O0,A29HORM8VKJ6O0,3,3,"National health service","National health service","Randomized control trial","Randomized control trial","General practicioner","General practicioner","Personal Protection Insurance","Personal Protection Insurance","2019-08-17 20:03:27","2019-08-17 20:03:27",123,123,31,31
46,46,A1VKZJ3CBBK206,A1VKZJ3CBBK206,2,2,"National Health Services ","National Health Services ","Randomized controlled trial","Randomized controlled trial","General practitioner ","General practitioner ","Patient and public involvement ","Patient and public involvement ","2019-08-17 20:15:19","2019-08-17 20:15:19",123,123,21,21
47,47,A1IWKM5YEXWB5H,A1IWKM5YEXWB5H,2,2,12,12,yyys,yyys,good,good,no,no,"2019-08-17 20:39:10","2019-08-17 20:39:10",123,123,21,21
48,48,A1VKZJ3CBBK206,A1VKZJ3CBBK206,4,4,"National Health Services ","National Health Services ","Randomized controlled trial","Randomized controlled trial","General practitioner ","General practitioner ","Patient and public involvement ","Patient and public involvement ","2019-08-17 20:42:43","2019-08-17 20:42:43",123,123,41,41
49,49,A27QIBL4MO6Z0X,A27QIBL4MO6Z0X,2,2,"national health service","national health service","Randomized controlled trial","Randomized controlled trial","general practitioner ","general practitioner ","Payment protection insurance ","Payment protection insurance ","2019-08-17 21:01:45","2019-08-17 21:01:45",123,123,21,21
50,50,A32INQRE2R6MNP,A32INQRE2R6MNP,4,4,"National Health System","National Health System","Regional Cancer ","Regional Cancer ","General Practitioner","General Practitioner","PrePaid Insurance","PrePaid Insurance","2019-08-17 21:25:36","2019-08-17 21:25:36",123,123,41,41
51,51,A3AYBSE0KUKC2E,A3AYBSE0KUKC2E,4,4,"national health service","national health service","randomized controlled trial","randomized controlled trial","general practioner","general practioner","payment protection insurance","payment protection insurance","2019-08-17 21:32:24","2019-08-17 21:32:24",123,123,41,41
52,52,A27P16LFLZGFPR,A27P16LFLZGFPR,3,3,"national health service","national health service","randomised control trial","randomised control trial","general practitional","general practitional","paired-pulse inhibition","paired-pulse inhibition","2019-08-17 22:37:28","2019-08-17 22:37:28",123,123,31,31
53,53,A2HKZCI32I319G,A2HKZCI32I319G,3,3,"national health service","national health service","road traffic collision ","road traffic collision ","general practitioner","general practitioner","payment protection insurance","payment protection insurance","2019-08-17 22:43:48","2019-08-17 22:43:48",123,123,31,31
54,54,A2QJNGKLAIMMAZ,A2QJNGKLAIMMAZ,2,2,"National Health Service","National Health Service","Randomized controlled trial ","Randomized controlled trial ","General practice","General practice","Payment protection insurance","Payment protection insurance","2019-08-17 23:11:39","2019-08-17 23:11:39",123,123,21,21
55,55,A3DUPM4SSY7AT5,A3DUPM4SSY7AT5,4,4,"national health service","national health service","Rhondda Cynon Taff","Rhondda Cynon Taff","gross product","gross product","Payment protection insurance in the United Kingdom","Payment protection insurance in the United Kingdom","2019-08-18 02:13:06","2019-08-18 02:13:06",123,123,41,41
56,56,A3RCSO052XFJJJ,A3RCSO052XFJJJ,4,4,"National Health Service","National Health Service","root canal treatment ","root canal treatment ","General Practice ","General Practice ","Payment Protection Insurance ","Payment Protection Insurance ","2019-08-18 05:33:00","2019-08-18 05:33:00",123,123,41,41
57,57,A2QJNGKLAIMMAZ,A2QJNGKLAIMMAZ,4,4,"National Health Service","National Health Service","Randomized controlled trial ","Randomized controlled trial ","General practice","General practice","Payment protection insurance","Payment protection insurance","2019-08-18 22:22:50","2019-08-18 22:22:50",123,123,141,141
58,58,A2Z61PDUC6NCLT,A2Z61PDUC6NCLT,4,4,"National Health Service","National Health Service","Randomized controlled trial","Randomized controlled trial","a doctor who can treat illnesses and give advice regarding health.","a doctor who can treat illnesses and give advice regarding health.","repayment of credit if a borrower dies.","repayment of credit if a borrower dies.","2019-08-18 22:22:55","2019-08-18 22:22:55",123,123,141,141
59,59,A1ST2X15PC6CE8,A1ST2X15PC6CE8,4,4,"National health Service","National health Service","Randomised controlled trial","Randomised controlled trial","General practitioner","General practitioner","Payment protection insurance","Payment protection insurance","2019-08-18 22:28:12","2019-08-18 22:28:12",123,123,141,141
60,60,A1ST2X15PC6CE8,A1ST2X15PC6CE8,3,3,"National health Service","National health Service","Randomised controlled trial","Randomised controlled trial","General practitioner","General practitioner","Payment protection insurance","Payment protection insurance","2019-08-18 22:37:33","2019-08-18 22:37:33",123,123,131,131
61,61,A1ST2X15PC6CE8,A1ST2X15PC6CE8,2,2,"National health Service","National health Service","Randomised controlled trial","Randomised controlled trial","General practitioner","General practitioner","Payment protection insurance","Payment protection insurance","2019-08-18 22:45:24","2019-08-18 22:45:24",123,123,121,121
62,62,A2U4LDPZF2P7BY,A2U4LDPZF2P7BY,4,4,"National Health Service","National Health Service","Randomised Control Study","Randomised Control Study","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-08-18 22:52:08","2019-08-18 22:52:08",123,123,141,141
63,63," COPIEDA2DAI5W9S1ET6"," COPIEDA2DAI5W9S1ET6",3,3,"national health service","national health service","Regents Competency Test","Regents Competency Test"," Grade Pending"," Grade Pending","Payment protection insurance","Payment protection insurance","2019-08-18 22:52:45","2019-08-18 22:52:45",123,123,131,131
64,64,AYANXOKRFW1ZD,AYANXOKRFW1ZD,2,2,"National Health Service","National Health Service","randomised controlled trail","randomised controlled trail","general practitioner ","general practitioner ","payment protection insurance","payment protection insurance","2019-08-18 23:23:17","2019-08-18 23:23:17",123,123,121,121
65,65,A39K5DFHK6FCQH,A39K5DFHK6FCQH,4,4,"National Health Service","National Health Service","Real Time Computing","Real Time Computing","General Practice","General Practice","Payment Protection Insurance","Payment Protection Insurance","2019-08-19 00:13:20","2019-08-19 00:13:20",123,123,141,141
66,66,A16IUSDJEU9MWL,A16IUSDJEU9MWL,3,3,"National Health Service","National Health Service","Randomized Controlled Trial","Randomized Controlled Trial","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-08-19 01:02:17","2019-08-19 01:02:17",123,123,131,131
67,67,A3DUPM4SSY7AT5,A3DUPM4SSY7AT5,3,3,"national health service","national health service","Rhondda Cynon Taff","Rhondda Cynon Taff","gross product","gross product","Payment protection insurance in the United Kingdom","Payment protection insurance in the United Kingdom","2019-08-19 01:42:31","2019-08-19 01:42:31",123,123,131,131
68,68,A3DUPM4SSY7AT5,A3DUPM4SSY7AT5,2,2,"national health service","national health service","Rhondda Cynon Taff","Rhondda Cynon Taff","gross product","gross product","Payment protection insurance in the United Kingdom","Payment protection insurance in the United Kingdom","2019-08-19 01:44:39","2019-08-19 01:44:39",123,123,121,121
69,69,A2I3D7L2IAHHOL,A2I3D7L2IAHHOL,3,3,"National hospital system","National hospital system",N/A,N/A,"A doctor","A doctor",N/A,N/A,"2019-08-19 02:09:55","2019-08-19 02:09:55",123,123,131,131
70,70,A3V0E6DXN7G2L8,A3V0E6DXN7G2L8,3,3,"National Health Service","National Health Service","Regional ","Regional ","General Practicioner","General Practicioner","Payment Protection Insurance","Payment Protection Insurance","2019-08-19 02:31:55","2019-08-19 02:31:55",123,123,131,131
71,71,A3V0E6DXN7G2L8,A3V0E6DXN7G2L8,2,2,"National Health Service","National Health Service","Randomised Controlled Trial","Randomised Controlled Trial","General Practitioner","General Practitioner","Proton-pump inhibitor ","Proton-pump inhibitor ","2019-08-19 02:39:01","2019-08-19 02:39:01",123,123,121,121
72,72,A2I3D7L2IAHHOL,A2I3D7L2IAHHOL,4,4,"National hospital system","National hospital system",N/A,N/A,"A general public doctor","A general public doctor",N/A,N/A,"2019-08-19 02:42:18","2019-08-19 02:42:18",123,123,141,141
73,73,A2L3BRCUIILH4X,A2L3BRCUIILH4X,3,3,"National Hospital System","National Hospital System","Randomised ControlledTrial","Randomised ControlledTrial","General Practise","General Practise","Payment Protection Insurance","Payment Protection Insurance","2019-08-19 02:51:33","2019-08-19 02:51:33",123,123,131,131
74,74,a3avffr73u39yp,a3avffr73u39yp,4,4,"national health service","national health service","randomised controlled trial","randomised controlled trial","general practitioner ","general practitioner ","proton pump inhibitor","proton pump inhibitor","2019-08-19 03:48:53","2019-08-19 03:48:53",123,123,141,141
75,75,a3avffr73u39yp,a3avffr73u39yp,3,3,"national health service","national health service","randomised controlled trial","randomised controlled trial","general practitioner ","general practitioner ","proton pump inhibitor","proton pump inhibitor","2019-08-19 04:33:27","2019-08-19 04:33:27",123,123,131,131
76,76,AENGDOS693JKO,AENGDOS693JKO,2,2,"THE NATIONAL HEALTH SERVICE","THE NATIONAL HEALTH SERVICE","RANDOMIZED CONTROLLED TRIAL","RANDOMIZED CONTROLLED TRIAL","GENERALL PRACTIONER","GENERALL PRACTIONER","PRODUCE PRICE IDEX","PRODUCE PRICE IDEX","2019-08-19 04:36:36","2019-08-19 04:36:36",123,123,121,121
77,77,a3avffr73u39yp,a3avffr73u39yp,2,2,"national health service","national health service","randomised controlled trial","randomised controlled trial","general practitioner ","general practitioner ","proton pump inhibitor","proton pump inhibitor","2019-08-19 04:40:37","2019-08-19 04:40:37",123,123,121,121
78,78," COPIEDA13QJNRZBYBXU"," COPIEDA13QJNRZBYBXU",3,3,"national health service","national health service","randomised controlled trial","randomised controlled trial","general practitioner","general practitioner","payment protection insurance","payment protection insurance","2019-08-19 06:04:58","2019-08-19 06:04:58",123,123,131,131
79,79,A2TZH3L7RO6RFS,A2TZH3L7RO6RFS,2,2,"National Health Service","National Health Service",Regional,Regional,"General Practitioner","General Practitioner","Payment Protection Plan","Payment Protection Plan","2019-08-19 08:29:16","2019-08-19 08:29:16",123,123,121,121
80,80,A31LCNCQS2AJR2,A31LCNCQS2AJR2,4,4,"National Health Service","National Health Service","Randomised Controlled Trial","Randomised Controlled Trial","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-08-19 12:29:45","2019-08-19 12:29:45",123,123,141,141
81,81,AEV815WVDIAJQ,AEV815WVDIAJQ,2,2,"National Health Service ","National Health Service ","Randomized Clinical Trial","Randomized Clinical Trial","General practitioner ","General practitioner ","Proton Pump Inhibitor","Proton Pump Inhibitor","2019-08-20 09:39:53","2019-08-20 09:39:53",123,123,121,121
82,82,yo,yo,2,2,kwdQs.html,kwdQs.html,rct,rct,gp,gp,ppi,ppi,"2019-08-21 17:22:38","2019-08-21 17:22:38",123,123,21,21
83,83,A2T63C3AQSLSGA,A2T63C3AQSLSGA,4,4,"National Health Service","National Health Service","Randomised control trial","Randomised control trial","General Practictioner","General Practictioner","Payment protection insurance","Payment protection insurance","2019-08-21 17:36:48","2019-08-21 17:36:48",123,123,41,41
84,84,A2T63C3AQSLSGA,A2T63C3AQSLSGA,3,3,"National Health Service","National Health Service","Randomised control trial","Randomised control trial","General Practictioner","General Practictioner","Payment protection insurance","Payment protection insurance","2019-08-21 17:42:38","2019-08-21 17:42:38",123,123,31,31
85,85,AYANXOKRFW1ZD,AYANXOKRFW1ZD,2,2,"National Health Service","National Health Service","Randomised controlled trail","Randomised controlled trail","General practitioner ","General practitioner ","Payment protection insurance","Payment protection insurance","2019-08-21 17:45:57","2019-08-21 17:45:57",123,123,21,21
86,86,A2T63C3AQSLSGA,A2T63C3AQSLSGA,2,2,"National Health Service","National Health Service","Randomised control trial","Randomised control trial","General Practictioner","General Practictioner","Payment protection insurance","Payment protection insurance","2019-08-21 17:46:32","2019-08-21 17:46:32",123,123,21,21
87,87,A25RJ54AHZGDOO,A25RJ54AHZGDOO,4,4,"National Health Service","National Health Service","Randomised Control Trial","Randomised Control Trial","General Practitioner","General Practitioner","Proton Pump Inhibitor","Proton Pump Inhibitor","2019-08-21 18:04:49","2019-08-21 18:04:49",123,123,41,41
88,88,A29HORM8VKJ6O0,A29HORM8VKJ6O0,2,2,"National health service ","National health service ","Randomised Controlled Trial","Randomised Controlled Trial","General practitioner ","General practitioner ","Personal protection insurance","Personal protection insurance","2019-08-21 18:05:47","2019-08-21 18:05:47",123,123,21,21
89,89,A300NSYGWVGOMM,A300NSYGWVGOMM,2,2,"National Health Service","National Health Service","Randomized controlled trial","Randomized controlled trial","General Practictioner","General Practictioner","Payment Protection Insurance","Payment Protection Insurance","2019-08-21 18:07:10","2019-08-21 18:07:10",123,123,21,21
90,90,A11MT3MTFDDRR9,A11MT3MTFDDRR9,2,2,"National Health Service","National Health Service","Randomized controlled trial","Randomized controlled trial","General Practitioner","General Practitioner","Proton Pump Inhibitor","Proton Pump Inhibitor","2019-08-21 18:07:13","2019-08-21 18:07:13",123,123,21,21
91,91,A1VIAHZ5BR79G9,A1VIAHZ5BR79G9,2,2,"National Health Service","National Health Service","Randomised Control Trial","Randomised Control Trial","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-08-21 18:16:14","2019-08-21 18:16:14",123,123,21,21
92,92,A29HORM8VKJ6O0,A29HORM8VKJ6O0,4,4,"National Health Service ","National Health Service ","Randomised Controlled Trial","Randomised Controlled Trial","General Practitioner ","General Practitioner ","Personal Protection Insurance ","Personal Protection Insurance ","2019-08-21 18:18:51","2019-08-21 18:18:51",123,123,41,41
93,93,A3IGX9S92GTNMI,A3IGX9S92GTNMI,4,4,"National health service","National health service","Randomized Controlled Trial","Randomized Controlled Trial","General Practioner","General Practioner","Payment protection insurance","Payment protection insurance","2019-08-21 18:24:04","2019-08-21 18:24:04",123,123,41,41
94,94,A25RJ54AHZGDOO,A25RJ54AHZGDOO,2,2,"National Health Service","National Health Service","Randomised Control Trial","Randomised Control Trial","General Practitioner","General Practitioner","Proton Pump Inhibitor","Proton Pump Inhibitor","2019-08-21 18:31:31","2019-08-21 18:31:31",123,123,21,21
95,95,A24MHO7W38BYP8,A24MHO7W38BYP8,4,4,"National Health Service","National Health Service","Randomised Controlled Trial","Randomised Controlled Trial","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-08-21 18:36:02","2019-08-21 18:36:02",123,123,41,41
96,96,A7Y524016WTCJ,A7Y524016WTCJ,4,4,"National Health Service","National Health Service","Root Canal Treatment","Root Canal Treatment","General Practitioner","General Practitioner","Payment protection insurance","Payment protection insurance","2019-08-21 18:40:11","2019-08-21 18:40:11",123,123,41,41
97,97,A34GAZW7WFPOMU,A34GAZW7WFPOMU,4,4,"National Health Service","National Health Service","Randomized controlled trial","Randomized controlled trial","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-08-21 18:47:54","2019-08-21 18:47:54",123,123,41,41
98,98,A34GAZW7WFPOMU,A34GAZW7WFPOMU,3,3,"National Health Service","National Health Service","Randomized controlled trial","Randomized controlled trial","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-08-21 18:53:01","2019-08-21 18:53:01",123,123,31,31
99,99,A34GAZW7WFPOMU,A34GAZW7WFPOMU,3,3,"National Health Service","National Health Service","Randomized controlled trial","Randomized controlled trial","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-08-21 18:54:27","2019-08-21 18:54:27",123,123,31,31
100,100,A34GAZW7WFPOMU,A34GAZW7WFPOMU,3,3,"National Health Service","National Health Service","Randomized controlled trial","Randomized controlled trial","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-08-21 18:54:32","2019-08-21 18:54:32",123,123,31,31
101,101,A3T8E8EB9HUYOS,A3T8E8EB9HUYOS,3,3,"National Health Service","National Health Service","Random Clinical Trial","Random Clinical Trial","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-08-21 19:02:20","2019-08-21 19:02:20",123,123,31,31
102,102,A25RJ54AHZGDOO,A25RJ54AHZGDOO,3,3,"National Health Service","National Health Service","Randomised Control Trial","Randomised Control Trial","General Practitioner","General Practitioner","Proton Pump Inhibitor","Proton Pump Inhibitor","2019-08-21 19:25:13","2019-08-21 19:25:13",123,123,31,31
103,103,ATP40FOEOH3O2,ATP40FOEOH3O2,3,3,"National Health Service","National Health Service","Randomised Control Trial","Randomised Control Trial","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-08-21 19:26:48","2019-08-21 19:26:48",123,123,31,31
104,104,A12KYR4MHARIK7,A12KYR4MHARIK7,3,3,"National Health Service","National Health Service","Randomised clinical trial","Randomised clinical trial","General Practitioner","General Practitioner","payment protection insurance","payment protection insurance","2019-08-21 19:28:46","2019-08-21 19:28:46",123,123,31,31
105,105,ARYZT0RO8N5P1,ARYZT0RO8N5P1,2,2,"National Health Service","National Health Service","Randomly Controlled Trial","Randomly Controlled Trial","General Practitioner ","General Practitioner ","Payment Protection Insurance","Payment Protection Insurance","2019-08-21 20:06:50","2019-08-21 20:06:50",123,123,21,21
106,106,A27P16LFLZGFPR,A27P16LFLZGFPR,2,2,"national health service","national health service","randomised control trial","randomised control trial","general practitional","general practitional","paired-pulse inhibition","paired-pulse inhibition","2019-08-21 20:47:43","2019-08-21 20:47:43",123,123,21,21
107,107,A3QUNHOJCSQDXX,A3QUNHOJCSQDXX,4,4,"National health service","National health service","Royal collection trust","Royal collection trust","General practitioner","General practitioner","Protected payment insurance","Protected payment insurance","2019-08-21 21:27:00","2019-08-21 21:27:00",123,123,41,41
108,108,COPIEDA2WG63TQT4LVPG,COPIEDA2WG63TQT4LVPG,4,4,"National Health Service","National Health Service","Randomized controlled trial","Randomized controlled trial","general practitioners","general practitioners","Payment protection insurance","Payment protection insurance","2019-08-21 22:05:19","2019-08-21 22:05:19",123,123,41,41
109,109,AUN1LGCVAUMIK,AUN1LGCVAUMIK,3,3,"National health Service","National health Service",Radiochemotherapy,Radiochemotherapy,"General Practicioner","General Practicioner"," Payment protection insurance"," Payment protection insurance","2019-08-21 22:45:23","2019-08-21 22:45:23",123,123,31,31
