idParagraph,0,idLeaflet,1,leafletAcronym,2,text,3,class,4,idInternal,5,question,6
19,19,1,1,flupoc,flupoc,"If you are in Group A your samples will be analysed for many different viruses using the rapid test which takes about 1 hour. You will then be informed of the results, as will the doctors and nurses looking after you. You still have the right to discuss the results with the research team and the clinical team looking after you. If you have a swab that reveals that you have a virus, we may approach you again to ask if you would give us permission to take further nasal swabs, sputum (if you are coughing up sputum) and another blood test (about half a tablespoon full) for additional ethically approved research. If your test shows you have influenza you will be offered anti-influenza treatment according to national guidelines.","If you are in Group A your samples will be analysed for many different viruses using the rapid test which takes about 1 hour. You will then be informed of the results, as will the doctors and nurses looking after you. You still have the right to discuss the results with the research team and the clinical team looking after you. If you have a swab that reveals that you have a virus, we may approach you again to ask if you would give us permission to take further nasal swabs, sputum (if you are coughing up sputum) and another blood test (about half a tablespoon full) for additional ethically approved research. If your test shows you have influenza you will be offered anti-influenza treatment according to national guidelines.",AlignTab,AlignTab,19,19,,
20,20,1,1,flupoc,flupoc,"If you are in Group B you will be managed according to standard care. The clinical team looking after you may wish to test you for respiratory viruses and if they do, this will be using standard laboratory testing. We may approach you again to ask if you would give us permission to take further nasal swabs, sputum (if you are coughing up sputum) and another blood test (about half a tablespoon full) for additional ethically approved research.","If you are in Group B you will be managed according to standard care. The clinical team looking after you may wish to test you for respiratory viruses and if they do, this will be using standard laboratory testing. We may approach you again to ask if you would give us permission to take further nasal swabs, sputum (if you are coughing up sputum) and another blood test (about half a tablespoon full) for additional ethically approved research.",AlignTab,AlignTab,20,20,,
21,21,1,1,flupoc,flupoc,"For both Groups A and B you have the right to decline all or any of these further research samples, should you wish, and this will not affect you being part of this study or the care you receive. If you lose the ability to consent and the research team wish to take any more samples from you, then we would have to get written permission from someone close to you, and you would have to agree that we could use them once you recovered.","For both Groups A and B you have the right to decline all or any of these further research samples, should you wish, and this will not affect you being part of this study or the care you receive. If you lose the ability to consent and the research team wish to take any more samples from you, then we would have to get written permission from someone close to you, and you would have to agree that we could use them once you recovered.",AlignTab,AlignTab,21,21,,
22,22,1,1,flupoc,flupoc,"Once you have been discharged a researcher will look at your hospital case notes to determine if having the test performed, or not has affected your management during your hospital stay. This includes how quickly you were discharged, whether you were nursed in a side room and decisions relating to antibiotic or antiviral medication.","Once you have been discharged a researcher will look at your hospital case notes to determine if having the test performed, or not has affected your management during your hospital stay. This includes how quickly you were discharged, whether you were nursed in a side room and decisions relating to antibiotic or antiviral medication.",AlignTab,AlignTab,22,22,,
23,23,1,1,flupoc,flupoc,"What about confidentiality?","What about confidentiality?",s,s,23,23,,
24,24,1,1,flupoc,flupoc,"We take participant confidentiality very seriously. Only a very limited amount of personal identifiable information is requested from you, and when we come to look at and publish any results then information is presented anonymously ` i.e. your details and personal information are never made available.","We take participant confidentiality very seriously. Only a very limited amount of personal identifiable information is requested from you, and when we come to look at and publish any results then information is presented anonymously ` i.e. your details and personal information are never made available.",AlignTab,AlignTab,24,24,,
25,25,1,1,flupoc,flupoc,"Your GP would be informed that you are participating in this study.","Your GP would be informed that you are participating in this study.",AlignTab,AlignTab,25,25,,
26,26,1,1,flupoc,flupoc,"The doctors and nurses treating you are told the results of the point-of-care test looking for respiratory viruses for those in Group A.","The doctors and nurses treating you are told the results of the point-of-care test looking for respiratory viruses for those in Group A.",AlignTab,AlignTab,26,26,,
27,27,1,1,flupoc,flupoc,"What are the risks?","What are the risks?",s,s,27,27,,
28,28,1,1,flupoc,flupoc,"The risks of having a simple swab taken from your nose and throat in this study are minimal but it can be mildly uncomfortable for some people. The blood tests are not risky but may also be mildly uncomfortable and sometimes leave a bruise. Study activities are insured via the hospital and University of Southampton.","The risks of having a simple swab taken from your nose and throat in this study are minimal but it can be mildly uncomfortable for some people. The blood tests are not risky but may also be mildly uncomfortable and sometimes leave a bruise. Study activities are insured via the hospital and University of Southampton.",AlignTab,AlignTab,28,28,,
29,29,1,1,flupoc,flupoc,"What are the benefits?","What are the benefits?",s,s,29,29,,
30,30,1,1,flupoc,flupoc,"Those in Group A, who have the rapid point-of-care test, might have a quicker diagnosis and treatment, but we cannot be sure. All participants may feel that they are bringing benefit to sick patients in the future by being part of this research.","Those in Group A, who have the rapid point-of-care test, might have a quicker diagnosis and treatment, but we cannot be sure. All participants may feel that they are bringing benefit to sick patients in the future by being part of this research.",AlignTab,AlignTab,30,30,,
31,31,1,1,flupoc,flupoc,"What happens when the research study stops?","What happens when the research study stops?",s,s,31,31,,
32,32,1,1,flupoc,flupoc,"Once the study finishes the data collected will be analysed by a statistician to see what difference the test made to clinical care of patients with influenza. The samples collected during the study are stored without any of personal details on them and are only used in further ethically approved research under the direction of the chief investigator of this study.","Once the study finishes the data collected will be analysed by a statistician to see what difference the test made to clinical care of patients with influenza. The samples collected during the study are stored without any of personal details on them and are only used in further ethically approved research under the direction of the chief investigator of this study.",AlignTab,AlignTab,32,32,,
33,33,1,1,flupoc,flupoc,"What will happen to the results of the research study?","What will happen to the results of the research study?",s,s,33,33,,
34,34,1,1,flupoc,flupoc,"We intend to publish the results of our research in medical journals and to present the results at scientific meetings. The information from these journals is available on the internet. All results are anonymous in these publications or presentations. We would like any useful results to form the basis of other studies looking at this and also change how medical professionals treat patients for the better.","We intend to publish the results of our research in medical journals and to present the results at scientific meetings. The information from these journals is available on the internet. All results are anonymous in these publications or presentations. We would like any useful results to form the basis of other studies looking at this and also change how medical professionals treat patients for the better.",AlignTab,AlignTab,34,34,,
35,35,1,1,flupoc,flupoc,"Who is organising and funding this research?","Who is organising and funding this research?",s,s,35,35,,
36,36,1,1,flupoc,flupoc,"The UK National Institute for Health Research (NIHR) is funding this research. The makers of the machines used to test for respiratory viruses are not sponsoring this study and the researchers are not funded or rewarded by the manufacturers. The NHS research and university authorities may examine the data we have collected from you to ensure it is accurate.","The UK National Institute for Health Research (NIHR) is funding this research. The makers of the machines used to test for respiratory viruses are not sponsoring this study and the researchers are not funded or rewarded by the manufacturers. The NHS research and university authorities may examine the data we have collected from you to ensure it is accurate.",AlignTab,AlignTab,36,36,,
37,37,1,1,flupoc,flupoc,"Who has approved this study?","Who has approved this study?",s,s,37,37,,
38,38,1,1,flupoc,flupoc,"An ethics committee has reviewed the design of this study and approved it to go ahead. The UK Heath Research Authority and the local NHS Research and Development department have approved this study too.","An ethics committee has reviewed the design of this study and approved it to go ahead. The UK Heath Research Authority and the local NHS Research and Development department have approved this study too.",AlignTab,AlignTab,38,38,,
39,39,1,1,flupoc,flupoc,"Who can I talk to further?","Who can I talk to further?",s,s,39,39,,
40,40,1,1,flupoc,flupoc,"The research team are very happy to answer your questions and discuss things further with you. You are welcome to talk to your doctors and nurses, family and friends, should you wish, about participating. Should you have any specific concerns you are welcome to discuss these with a research doctor, or the chief investigator, or Patient Support Services, about how you might take your concerns further.","The research team are very happy to answer your questions and discuss things further with you. You are welcome to talk to your doctors and nurses, family and friends, should you wish, about participating. Should you have any specific concerns you are welcome to discuss these with a research doctor, or the chief investigator, or Patient Support Services, about how you might take your concerns further.",AlignTab,AlignTab,40,40,,
41,41,1,1,flupoc,flupoc,"Dr Tristan Clark, Chief investigator Associate Professor and Consultant in Infectious Diseases, University of Southampton and University Hospital Southampton NHS Foundation Trust Tel: 02381218410. T.W.Clark@soton.ac.uk","Dr Tristan Clark, Chief investigator Associate Professor and Consultant in Infectious Diseases, University of Southampton and University Hospital Southampton NHS Foundation Trust Tel: 02381218410. T.W.Clark@soton.ac.uk",AlignTab,AlignTab,41,41,,
42,42,1,1,flupoc,flupoc,"Dr Nathan Brendish Clinical Research Fellow, University Hospital Southampton NHS Foundation Trust Tel: 02381204989. Nathan.Brendish@uhs.nhs.uk","Dr Nathan Brendish Clinical Research Fellow, University Hospital Southampton NHS Foundation Trust Tel: 02381204989. Nathan.Brendish@uhs.nhs.uk",AlignTab,AlignTab,42,42,,
43,43,1,1,flupoc,flupoc,"Dr Ally Malachira Clinical Research Fellow, University Hospital Southampton NHS Foundation Trust Tel: 02381204989. Ahalya.Malachira@uhs.nhs.uk","Dr Ally Malachira Clinical Research Fellow, University Hospital Southampton NHS Foundation Trust Tel: 02381204989. Ahalya.Malachira@uhs.nhs.uk",AlignTab,AlignTab,43,43,,
44,44,1,1,flupoc,flupoc,"Patient Support Services, University Hospital Southampton NHS Foundation Trust Tel: 02381206325. patientsupportservices@uhs.nhs.uk.","Patient Support Services, University Hospital Southampton NHS Foundation Trust Tel: 02381206325. patientsupportservices@uhs.nhs.uk.",AlignTab,AlignTab,44,44,,
45,45,2,2,horizons,horizons,"University of Southampton University Hospital Southampton NHS Foundation Trust","University of Southampton University Hospital Southampton NHS Foundation Trust",t,t,1,1,,
46,46,2,2,horizons,horizons,HORIZONS,HORIZONS,"t c","t c",2,2,,
47,47,2,2,horizons,horizons,"Central Research Office Tel: 023 8059 6885 Chief Investigator: Professor Claire Foster; Tel: 023 8059 6885 Local Principal Investigator: [Investigator Name] ","Central Research Office Tel: 023 8059 6885 Chief Investigator: Professor Claire Foster; Tel: 023 8059 6885 Local Principal Investigator: [Investigator Name] ",n,n,3,3,,
48,48,2,2,horizons,horizons,"Participant Information Sheet","Participant Information Sheet","b c","b c",4,4,,
49,49,2,2,horizons,horizons,"Macmillan HORIZONS Study: Understanding the impact of cancer diagnosis and treatment on everyday life","Macmillan HORIZONS Study: Understanding the impact of cancer diagnosis and treatment on everyday life","t2 c","t2 c",5,5,,
50,50,2,2,horizons,horizons,"1. We invite you to take part in a study","1. We invite you to take part in a study",s,s,6,6,,
51,51,2,2,horizons,horizons,"* We would like to invite you to take part in the Macmillan HORIZONS study. Before You decide we would like you to understand why the research is being done and what it would involve.","* We would like to invite you to take part in the Macmillan HORIZONS study. Before You decide we would like you to understand why the research is being done and what it would involve.","n AlignTab","n AlignTab",7,7,,
52,52,2,2,horizons,horizons,"* The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have. This will take about 10 minutes. Please take the information sheet away with you and you can talk to your friends, family or GP about the study if you wish. Take time to make your decision.","* The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have. This will take about 10 minutes. Please take the information sheet away with you and you can talk to your friends, family or GP about the study if you wish. Take time to make your decision.","n AlignTab","n AlignTab",8,8,,
53,53,2,2,horizons,horizons,"* This study will follow a large group of patients over time who have had a diagnosis of cancer.","* This study will follow a large group of patients over time who have had a diagnosis of cancer.","n AlignTab","n AlignTab",9,9,,
54,54,2,2,horizons,horizons,"We will be asking participants to complete questionnaires to find out how people's health and well-being is after diagnosis and treatment","We will be asking participants to complete questionnaires to find out how people's health and well-being is after diagnosis and treatment","b AlignTab","b AlignTab",10,10,,
55,55,2,2,horizons,horizons,"* We understand that this invitation comes at a time when you have a lot to deal with already, but we need to find out how you are before your treatment, so that we can find out how your health and well-being changes over time.","* We understand that this invitation comes at a time when you have a lot to deal with already, but we need to find out how you are before your treatment, so that we can find out how your health and well-being changes over time.","n AlignTab","n AlignTab",11,11,,
56,56,2,2,horizons,horizons,"2. Why are we doing this study?","2. Why are we doing this study?",s,s,12,12,,
57,57,2,2,horizons,horizons,"* A growing number of people are living for many years after cancer treatment but we don't yet know all the ways to support them to ensure the best possible recovery.","* A growing number of people are living for many years after cancer treatment but we don't yet know all the ways to support them to ensure the best possible recovery.","n AlignTab","n AlignTab",13,13,,
58,58,2,2,horizons,horizons,"* We will be recruiting approximately 3,000 patients over 3 years. Patients will have a diagnosis of either breast cancer who are under 50 years old, gynecological cancer or non-Hodgkin lymphoma. Recruitment will take place prior to treatment from hospitals across the UK.","* We will be recruiting approximately 3,000 patients over 3 years. Patients will have a diagnosis of either breast cancer who are under 50 years old, gynecological cancer or non-Hodgkin lymphoma. Recruitment will take place prior to treatment from hospitals across the UK.","n AlignTab","n AlignTab",14,14,,
59,59,2,2,horizons,horizons,"* We are interested in how a diagnosis of cancer and its treatment affects a person's life over time.","* We are interested in how a diagnosis of cancer and its treatment affects a person's life over time.","n AlignTab","n AlignTab",15,15,,
60,60,2,2,horizons,horizons,"* Other studies collect data about people from their medical and hospital records, but we believe it is important to find out about your health and well-being from your perspective through your responses to questionnaires.","* Other studies collect data about people from their medical and hospital records, but we believe it is important to find out about your health and well-being from your perspective through your responses to questionnaires.","n AlignTab","n AlignTab",16,16,,
61,61,2,2,horizons,horizons,"* Understanding what is important to people with cancer during their treatment and in the months and years afterwards will help inform support services in the future.","* Understanding what is important to people with cancer during their treatment and in the months and years afterwards will help inform support services in the future.","n AlignTab","n AlignTab",17,17,,
62,62,2,2,horizons,horizons,"3. Why have I been asked to take part?","3. Why have I been asked to take part?",s,s,18,18,,
63,63,2,2,horizons,horizons,"* You have been asked to take part in the study because you are awaiting treatment for either breast cancer, gynecological cancer or non-Hodgkin lymphoma.","* You have been asked to take part in the study because you are awaiting treatment for either breast cancer, gynecological cancer or non-Hodgkin lymphoma.","n AlignTab","n AlignTab",19,19,,
64,64,2,2,horizons,horizons,"4. What would taking part involve?","4. What would taking part involve?",s,s,20,20,,
65,65,2,2,horizons,horizons,"* After you have read the information sheet and have had your questions answered, you will be asked whether you are happy to take part in the study.","* After you have read the information sheet and have had your questions answered, you will be asked whether you are happy to take part in the study.","n AlignTab","n AlignTab",21,21,,
66,66,2,2,horizons,horizons,"* If you would like to take part you will be given a consent form to complete with the nurse or researcher and a questionnaire to fill in. You can complete the questionnaire during your hospital visit and hand it to the nurse or researcher or you can take it home to complete and return in the pre-paid envelope.","* If you would like to take part you will be given a consent form to complete with the nurse or researcher and a questionnaire to fill in. You can complete the questionnaire during your hospital visit and hand it to the nurse or researcher or you can take it home to complete and return in the pre-paid envelope.","n AlignTab","n AlignTab",22,22,,
67,67,2,2,horizons,horizons,"* You will be asked to fill in questionnaires before your treatment starts and then again in 3 months, 12 months, 18 months and 2 years. After that point, you will be sent a questionnaire once a year.","* You will be asked to fill in questionnaires before your treatment starts and then again in 3 months, 12 months, 18 months and 2 years. After that point, you will be sent a questionnaire once a year.","n AlignTab","n AlignTab",23,23,,
68,68,2,2,horizons,horizons,"* You can complete the study questionnaires on paper or online. The first questionnaire will be completed on paper, at the end you can choose to complete the next questionnaires on paper or online. If you choose paper, these will be posted to your home address. If you prefer to complete them online, the details of how to do this will be either posted or emailed to you. Pre-paid envelopes will be provided for return of paper questionnaires.","* You can complete the study questionnaires on paper or online. The first questionnaire will be completed on paper, at the end you can choose to complete the next questionnaires on paper or online. If you choose paper, these will be posted to your home address. If you prefer to complete them online, the details of how to do this will be either posted or emailed to you. Pre-paid envelopes will be provided for return of paper questionnaires.","n AlignTab","n AlignTab",24,24,,
69,69,2,2,horizons,horizons,"* If we do not receive your completed questionnaires within two weeks we will contact you to remind you. If we have not received your questionnaire after another two weeks, we will send you a new one.","* If we do not receive your completed questionnaires within two weeks we will contact you to remind you. If we have not received your questionnaire after another two weeks, we will send you a new one.","n AlignTab","n AlignTab",25,25,,
70,70,2,2,horizons,horizons,"* We would also like to ask your permission to gather information that is routinely collected about you by the NHS, such as your clinical and treatment details both through your medical records and national databases such as NHS Digital and other central UK bodies.","* We would also like to ask your permission to gather information that is routinely collected about you by the NHS, such as your clinical and treatment details both through your medical records and national databases such as NHS Digital and other central UK bodies.","n AlignTab","n AlignTab",26,26,,
71,71,2,2,horizons,horizons,"* You do not have to take part in this study and your clinical care will not be affected by your decision. If you decide to take part but change your mind in the future you can withdraw at any time.","* You do not have to take part in this study and your clinical care will not be affected by your decision. If you decide to take part but change your mind in the future you can withdraw at any time.","n AlignTab","n AlignTab",27,27,,
72,72,2,2,horizons,horizons,"5. What are the possible benefits of taking part?","5. What are the possible benefits of taking part?",s,s,28,28,,
73,73,2,2,horizons,horizons,"* We cannot promise that taking part in this study will help you personally. Some patients may find it helpful to think about issues related to their cancer. We hope that the information you provide in your questionnaires will help us understand peopleâ€™s experiences following diagnosis and treatment for cancer.","* We cannot promise that taking part in this study will help you personally. Some patients may find it helpful to think about issues related to their cancer. We hope that the information you provide in your questionnaires will help us understand peopleâ€™s experiences following diagnosis and treatment for cancer.","n AlignTab","n AlignTab",29,29,,
74,74,2,2,horizons,horizons,"6. What are the possible disadvantages and risks of taking part?","6. What are the possible disadvantages and risks of taking part?",s,s,30,30,,
75,75,2,2,horizons,horizons,"* We do not anticipate that there will be any risks to you in taking part in the study, but if you have any concerns about your health as a result you should contact your doctor or nurse.","* We do not anticipate that there will be any risks to you in taking part in the study, but if you have any concerns about your health as a result you should contact your doctor or nurse.","n AlignTab","n AlignTab",31,31,,
76,76,2,2,horizons,horizons,"* Sometimes people find it difficult to talk or write about their experiences. We will be asking you about your emotional health, for example, how you are coping. You do not have to answer any questions that you do not want to.","* Sometimes people find it difficult to talk or write about their experiences. We will be asking you about your emotional health, for example, how you are coping. You do not have to answer any questions that you do not want to.","n AlignTab","n AlignTab",32,32,,
77,77,2,2,horizons,horizons,"* If you have not returned the first questionnaire two weeks after you have consented, we may ring you to see if you have any questions regarding the study or require another questionnaire.","* If you have not returned the first questionnaire two weeks after you have consented, we may ring you to see if you have any questions regarding the study or require another questionnaire.","n AlignTab","n AlignTab",33,33,,
78,78,2,2,horizons,horizons,"* If you return a questionnaire with missing information, we will contact you just to check if this information has been missed by accident or not. We will only ask you for information that you are happy to give us.","* If you return a questionnaire with missing information, we will contact you just to check if this information has been missed by accident or not. We will only ask you for information that you are happy to give us.","n AlignTab","n AlignTab",34,34,,
79,79,2,2,horizons,horizons,"* If you are finding any aspect of your experience difficult, we can also provide you with details of where you might get more support. For example: Maggieâ€™s Centres (www.maggiescentres.org) or Macmillan Cancer Support (www.macmillan.org.uk). You may also want to talk to your GP or hospital clinical team if you have more specific questions.","* If you are finding any aspect of your experience difficult, we can also provide you with details of where you might get more support. For example: Maggieâ€™s Centres (www.maggiescentres.org) or Macmillan Cancer Support (www.macmillan.org.uk). You may also want to talk to your GP or hospital clinical team if you have more specific questions.","n AlignTab","n AlignTab",35,35,,
80,80,2,2,horizons,horizons,"7. What is the legal basis for processing my data?","7. What is the legal basis for processing my data?",s,s,36,36,,
81,81,2,2,horizons,horizons,"* As a publicly funded organisation, we have to ensure that it is in the public interest when we use personally identifiable information from people who have agreed to take part in research.","* As a publicly funded organisation, we have to ensure that it is in the public interest when we use personally identifiable information from people who have agreed to take part in research.","n AlignTab","n AlignTab",37,37,,
82,82,2,2,horizons,horizons,"* This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","* This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","n AlignTab","n AlignTab",38,38,,
83,83,2,2,horizons,horizons,"8. How will my data be protected?","8. How will my data be protected?",s,s,39,39,,
84,84,2,2,horizons,horizons,"* This information is being provided to you to fulfil data transparency requirements under the General Data Protection Regulation (GDPR) for health and care research.","* This information is being provided to you to fulfil data transparency requirements under the General Data Protection Regulation (GDPR) for health and care research.","n AlignTab","n AlignTab",40,40,,
85,85,2,2,horizons,horizons,"* The HORIZONS study is being run by the Macmillan Survivorship Research Group (MSRG), with funding provided by Macmillan Cancer Support.","* The HORIZONS study is being run by the Macmillan Survivorship Research Group (MSRG), with funding provided by Macmillan Cancer Support.","n AlignTab","n AlignTab",41,41,,
86,86,2,2,horizons,horizons,"* University Hospital Southampton NHS Foundation Trust (UHSFT) is the sponsor for this study based in the United Kingdom.","* University Hospital Southampton NHS Foundation Trust (UHSFT) is the sponsor for this study based in the United Kingdom.","n AlignTab","n AlignTab",42,42,,
87,87,2,2,horizons,horizons,"* UHSFT will be using information from you and your medical records in order to undertake this study and will act as the data controller for this study.","* UHSFT will be using information from you and your medical records in order to undertake this study and will act as the data controller for this study.","n AlignTab","n AlignTab",43,43,,
88,88,2,2,horizons,horizons,"* This means that we are responsible for looking after your information and using it properly. UHSFT will keep identifiable information about you for 10 years after the study has finished.","* This means that we are responsible for looking after your information and using it properly. UHSFT will keep identifiable information about you for 10 years after the study has finished.","n AlignTab","n AlignTab",44,44,,
89,89,2,2,horizons,horizons,"* Your rights to access, change or move your information are limited, as we need to manage your information in specific ways in order for the research to be reliable and accurate.","* Your rights to access, change or move your information are limited, as we need to manage your information in specific ways in order for the research to be reliable and accurate.","n AlignTab","n AlignTab",45,45,,
90,90,2,2,horizons,horizons,"* To safeguard your rights, we will use the minimum personally-identifiable information possible.","* To safeguard your rights, we will use the minimum personally-identifiable information possible.","n AlignTab","n AlignTab",46,46,,
91,91,2,2,horizons,horizons,"* You can find out more about how we use your information at https://www.southampton.ac.uk/msrg/ourresearch/index.page","* You can find out more about how we use your information at https://www.southampton.ac.uk/msrg/ourresearch/index.page","n AlignTab","n AlignTab",47,47,,
92,92,2,2,horizons,horizons,"or by contacting HORIZONS@soton.ac.uk.","or by contacting HORIZONS@soton.ac.uk.","n AlignTab","n AlignTab",48,48,,
93,93,2,2,horizons,horizons,"* The MSRG and your hospital will collect information from you or your medical records for this research in accordance with our instructions.","* The MSRG and your hospital will collect information from you or your medical records for this research in accordance with our instructions.","n AlignTab","n AlignTab",49,49,,
94,94,2,2,horizons,horizons,"* Your hospital and the MSRG will use your name, NHS number and contact details to contact you about the research study, and make sure that relevant information about the study is recorded for your care, and to oversee the quality of the study.","* Your hospital and the MSRG will use your name, NHS number and contact details to contact you about the research study, and make sure that relevant information about the study is recorded for your care, and to oversee the quality of the study.","n AlignTab","n AlignTab",50,50,,
95,95,2,2,horizons,horizons,"* Individuals from UHSFT and regulatory organisations may look at your medical and research records to check the accuracy of the research study.","* Individuals from UHSFT and regulatory organisations may look at your medical and research records to check the accuracy of the research study.","n AlignTab","n AlignTab",51,51,,
96,96,2,2,horizons,horizons,"* The MSRG and your hospital will pass these details to UHSFT along with the information collected from you and your medical records.","* The MSRG and your hospital will pass these details to UHSFT along with the information collected from you and your medical records.","n AlignTab","n AlignTab",52,52,,
