idRevision,0,RID,1,idReviser,2,idLeaflet,3,idSentence,4,crwRevision,5,dateT,6,g,7,flag,8
34,34,126,126,A24NYP336X0LCJ,A24NYP336X0LCJ,2,2,263,263,"WERE A PUBLIC FUNDED ORGANISATION-AND MUST ENSURE THAT IT IS IN THE PUBLICS INTEREST -HOW AND WHEN WE USE YOUR IDENTIFIABLE -VOLUNTEERED INFORMATION AFTER AGREEING TO OUR RESEARCH","WERE A PUBLIC FUNDED ORGANISATION-AND MUST ENSURE THAT IT IS IN THE PUBLICS INTEREST -HOW AND WHEN WE USE YOUR IDENTIFIABLE -VOLUNTEERED INFORMATION AFTER AGREEING TO OUR RESEARCH","2019-08-17 19:57:16","2019-08-17 19:57:16",21,21,123,123
35,35,127,127,A29HORM8VKJ6O0,A29HORM8VKJ6O0,3,3,346,346,"The purpose of the research is to use your views to develop a workshop for men suffering with prostate cancer.","The purpose of the research is to use your views to develop a workshop for men suffering with prostate cancer.","2019-08-17 19:58:21","2019-08-17 19:58:21",31,31,123,123
36,36,128,128,A29HORM8VKJ6O0,A29HORM8VKJ6O0,3,3,342,342,"We will not record your personal data in the questionnaire and you will instead be allocated a number at the start of the study to identify you.","We will not record your personal data in the questionnaire and you will instead be allocated a number at the start of the study to identify you.","2019-08-17 20:00:04","2019-08-17 20:00:04",31,31,123,123
37,37,129,129,A29HORM8VKJ6O0,A29HORM8VKJ6O0,3,3,359,359,"If you are happy to take part in the study, please complete the questionaire and either give it to the researcher at the end of the workshop or post it to us in the pre-paid envelope provided.","If you are happy to take part in the study, please complete the questionaire and either give it to the researcher at the end of the workshop or post it to us in the pre-paid envelope provided.","2019-08-17 20:01:39","2019-08-17 20:01:39",31,31,123,123
38,38,130,130,A1VKZJ3CBBK206,A1VKZJ3CBBK206,2,2,264,264,"This means that when you agree to take part in a research study, we will use your data to analyse the research study","This means that when you agree to take part in a research study, we will use your data to analyse the research study","2019-08-17 20:03:01","2019-08-17 20:03:01",21,21,123,123
39,39,131,131,A1VKZJ3CBBK206,A1VKZJ3CBBK206,2,2,222,222,"A growing number of people are living for many years after cancer treatment, but we still don't know yet how to support them which is the best possible recovery.","A growing number of people are living for many years after cancer treatment, but we still don't know yet how to support them which is the best possible recovery.","2019-08-17 20:08:05","2019-08-17 20:08:05",21,21,123,123
40,40,132,132,A1VKZJ3CBBK206,A1VKZJ3CBBK206,2,2,263,263,"As a publicly funded organisation, we have to ensure the public, is very helpful and very important to use the information from people who have agreed to take part in research.","As a publicly funded organisation, we have to ensure the public, is very helpful and very important to use the information from people who have agreed to take part in research.","2019-08-17 20:11:08","2019-08-17 20:11:08",21,21,123,123
41,41,133,133,A1VKZJ3CBBK206,A1VKZJ3CBBK206,4,4,450,450,"If you are finding difficulties of your experience, we can give more details from where you might get more support.","If you are finding difficulties of your experience, we can give more details from where you might get more support.","2019-08-17 20:35:21","2019-08-17 20:35:21",41,41,123,123
42,42,134,134,A1VKZJ3CBBK206,A1VKZJ3CBBK206,4,4,416,416,"Patients with localised prostate cancer ( cancer is limited to the prostate and hasn't spread anywhere else in the body)","Patients with localised prostate cancer ( cancer is limited to the prostate and hasn't spread anywhere else in the body)","2019-08-17 20:38:00","2019-08-17 20:38:00",41,41,123,123
43,43,138,138,A1VKZJ3CBBK206,A1VKZJ3CBBK206,4,4,470,470,"The only people in the University of Southampton, who will have access to your information, are the people who will need to contact you, to process and analyse your data, or audit the data.","The only people in the University of Southampton, who will have access to your information, are the people who will need to contact you, to process and analyse your data, or audit the data.","2019-08-17 20:42:18","2019-08-17 20:42:18",41,41,123,123
44,44,139,139,A27QIBL4MO6Z0X,A27QIBL4MO6Z0X,2,2,264,264,"when you agree to take part in the research study...your data will be used to conduct and analyse the research study ","when you agree to take part in the research study...your data will be used to conduct and analyse the research study ","2019-08-17 20:48:01","2019-08-17 20:48:01",21,21,123,123
45,45,140,140,A27QIBL4MO6Z0X,A27QIBL4MO6Z0X,2,2,222,222,"A growing number of people are living for many years after cancer treatment but we are yet to know ways to ensure the best possible recovery","A growing number of people are living for many years after cancer treatment but we are yet to know ways to ensure the best possible recovery","2019-08-17 20:50:36","2019-08-17 20:50:36",21,21,123,123
46,46,141,141,A27QIBL4MO6Z0X,A27QIBL4MO6Z0X,2,2,263,263,"As a publicly funded organization, we have to ensure that we use identifiable information from people who have agreed to take in this research ","As a publicly funded organization, we have to ensure that we use identifiable information from people who have agreed to take in this research ","2019-08-17 20:53:03","2019-08-17 20:53:03",21,21,123,123
47,47,142,142,A32INQRE2R6MNP,A32INQRE2R6MNP,4,4,450,450,"If you experience difficulties, we can provide you with support contact information.","If you experience difficulties, we can provide you with support contact information.","2019-08-17 21:18:56","2019-08-17 21:18:56",41,41,123,123
48,48,143,143,A32INQRE2R6MNP,A32INQRE2R6MNP,4,4,416,416,"Patients with localised prostate cancer (prostate cancer that has not spread).","Patients with localised prostate cancer (prostate cancer that has not spread).","2019-08-17 21:21:58","2019-08-17 21:21:58",41,41,123,123
49,49,144,144,A32INQRE2R6MNP,A32INQRE2R6MNP,4,4,470,470,"Your identifying information will only be available to the University of Southhampton employees as needed for processing your requests and data.","Your identifying information will only be available to the University of Southhampton employees as needed for processing your requests and data.","2019-08-17 21:24:26","2019-08-17 21:24:26",41,41,123,123
50,50,145,145,A3AYBSE0KUKC2E,A3AYBSE0KUKC2E,4,4,450,450,"If any part of this is difficult, we can help you find support","If any part of this is difficult, we can help you find support","2019-08-17 21:24:57","2019-08-17 21:24:57",41,41,123,123
51,51,146,146,A3AYBSE0KUKC2E,A3AYBSE0KUKC2E,4,4,416,416,"Patients will have been diagnosed with prostate cancer that has not spread.","Patients will have been diagnosed with prostate cancer that has not spread.","2019-08-17 21:26:09","2019-08-17 21:26:09",41,41,123,123
52,52,147,147,A3AYBSE0KUKC2E,A3AYBSE0KUKC2E,4,4,470,470,"The only people who will have access to information that can identify you, are those who need to collect more information from you, or analyze the information that you have already provided.","The only people who will have access to information that can identify you, are those who need to collect more information from you, or analyze the information that you have already provided.","2019-08-17 21:30:08","2019-08-17 21:30:08",41,41,123,123
53,53,148,148,A27P16LFLZGFPR,A27P16LFLZGFPR,3,3,346,346,"the aim this research is to know your view about prostate cancer and develop a right workshop for men with it","the aim this research is to know your view about prostate cancer and develop a right workshop for men with it","2019-08-17 22:28:06","2019-08-17 22:28:06",31,31,123,123
54,54,149,149,A27P16LFLZGFPR,A27P16LFLZGFPR,3,3,342,342,"your data will not be recorded during this experiment instead a number will be assigned to your data","your data will not be recorded during this experiment instead a number will be assigned to your data","2019-08-17 22:30:23","2019-08-17 22:30:23",31,31,123,123
55,55,150,150,A27P16LFLZGFPR,A27P16LFLZGFPR,3,3,359,359,"if you are okay with the listed information then you can complete the study and return it to the examiner or send it to us at the university of Southampton in a pre-paid envelope","if you are okay with the listed information then you can complete the study and return it to the examiner or send it to us at the university of Southampton in a pre-paid envelope","2019-08-17 22:33:48","2019-08-17 22:33:48",31,31,123,123
56,56,151,151,A2HKZCI32I319G,A2HKZCI32I319G,3,3,346,346,"the purpose of the this research is to develop a workshop for men with prostate cancer. your views will be used to do this.","the purpose of the this research is to develop a workshop for men with prostate cancer. your views will be used to do this.","2019-08-17 22:39:39","2019-08-17 22:39:39",31,31,123,123
57,57,152,152,A2HKZCI32I319G,A2HKZCI32I319G,3,3,342,342,"you will be allocated a number at the start of the study to identify your data. names. & address will not be recorded","you will be allocated a number at the start of the study to identify your data. names. & address will not be recorded","2019-08-17 22:40:51","2019-08-17 22:40:51",31,31,123,123
58,58,153,153,A2HKZCI32I319G,A2HKZCI32I319G,3,3,359,359,"knowing this, you are happy to take part. please complete the questionnaire and return it to the researcher, or send it to us at the university of Southampton in the envelope provided.","knowing this, you are happy to take part. please complete the questionnaire and return it to the researcher, or send it to us at the university of Southampton in the envelope provided.","2019-08-17 22:42:16","2019-08-17 22:42:16",31,31,123,123
59,59,154,154,A2QJNGKLAIMMAZ,A2QJNGKLAIMMAZ,2,2,264,264,"your data will be used to conduct and analysis of reasearch study when you agree to take part in this research study.","your data will be used to conduct and analysis of reasearch study when you agree to take part in this research study.","2019-08-17 23:06:54","2019-08-17 23:06:54",21,21,123,123
60,60,155,155,A2QJNGKLAIMMAZ,A2QJNGKLAIMMAZ,2,2,222,222,"we don't know yet all the ways to support people are being treated with cancer treatment to ensure the best possible recovery.","we don't know yet all the ways to support people are being treated with cancer treatment to ensure the best possible recovery.","2019-08-17 23:08:08","2019-08-17 23:08:08",21,21,123,123
61,61,156,156,A2QJNGKLAIMMAZ,A2QJNGKLAIMMAZ,2,2,263,263,"as a public-funded orginisation, all information provided by people in research is used for the public interest. ","as a public-funded orginisation, all information provided by people in research is used for the public interest. ","2019-08-17 23:10:26","2019-08-17 23:10:26",21,21,123,123
62,62,160,160,A3RCSO052XFJJJ,A3RCSO052XFJJJ,4,4,450,450,"In case you are struggling with what you're going through, we can send you relevant information on where you will be able to get support.","In case you are struggling with what you're going through, we can send you relevant information on where you will be able to get support.","2019-08-18 05:25:25","2019-08-18 05:25:25",41,41,123,123
63,63,161,161,A3RCSO052XFJJJ,A3RCSO052XFJJJ,4,4,416,416,"Patients will be tested for the localised prostate cancer (cancer is only in the prostate and no other body parts or organs).","Patients will be tested for the localised prostate cancer (cancer is only in the prostate and no other body parts or organs).","2019-08-18 05:27:36","2019-08-18 05:27:36",41,41,123,123
64,64,162,162,A3RCSO052XFJJJ,A3RCSO052XFJJJ,4,4,470,470,"Any information that lets you be identified will only be accessed by people working on this research at University of Southampton. This includes anyone who might need to contact you in regards to questionnaires, analyse the data you've given or make sure the collection process meets all the requirements. ","Any information that lets you be identified will only be accessed by people working on this research at University of Southampton. This includes anyone who might need to contact you in regards to questionnaires, analyse the data you've given or make sure the collection process meets all the requirements. ","2019-08-18 05:31:09","2019-08-18 05:31:09",41,41,123,123
65,65,163,163,A2Z61PDUC6NCLT,A2Z61PDUC6NCLT,4,4,450,450,"if anything is difficult, we can give details to get more support.","if anything is difficult, we can give details to get more support.","2019-08-18 22:18:00","2019-08-18 22:18:00",141,141,123,123
66,66,164,164,A2QJNGKLAIMMAZ,A2QJNGKLAIMMAZ,4,4,450,450,"we can provide more details of extra support if you experiencing any difficulties ","we can provide more details of extra support if you experiencing any difficulties ","2019-08-18 22:18:55","2019-08-18 22:18:55",141,141,123,123
67,67,165,165,A2Z61PDUC6NCLT,A2Z61PDUC6NCLT,4,4,416,416,"some people with localised prostate cancer(cancer that hasnt spread)","some people with localised prostate cancer(cancer that hasnt spread)","2019-08-18 22:19:15","2019-08-18 22:19:15",141,141,123,123
68,68,166,166,A2QJNGKLAIMMAZ,A2QJNGKLAIMMAZ,4,4,416,416,"Patients may get a diagnosis of localized prostate cancer ","Patients may get a diagnosis of localized prostate cancer ","2019-08-18 22:19:54","2019-08-18 22:19:54",141,141,123,123
69,69,167,167,A2Z61PDUC6NCLT,A2Z61PDUC6NCLT,4,4,470,470,"this information is only available to use by people who need to contact regarding questionaires, process and analyse your data.","this information is only available to use by people who need to contact regarding questionaires, process and analyse your data.","2019-08-18 22:21:08","2019-08-18 22:21:08",141,141,123,123
70,70,168,168,A2QJNGKLAIMMAZ,A2QJNGKLAIMMAZ,4,4,470,470,"The University of Southampton can contact you for further questions and also process and analyze data provided by you. Whole data collection process gets audited. ","The University of Southampton can contact you for further questions and also process and analyze data provided by you. Whole data collection process gets audited. ","2019-08-18 22:22:41","2019-08-18 22:22:41",141,141,123,123
71,71,169,169,A1ST2X15PC6CE8,A1ST2X15PC6CE8,4,4,450,450,"we can also provide you with details of where you can find more support,if you are finding any part of your experience difficult","we can also provide you with details of where you can find more support,if you are finding any part of your experience difficult","2019-08-18 22:22:48","2019-08-18 22:22:48",141,141,123,123
72,72,170,170,A1ST2X15PC6CE8,A1ST2X15PC6CE8,4,4,416,416,"If the cancer is confined to the prostate and hasn't spread anywhere else, patient will be diagnosed with localised prostate cancer.","If the cancer is confined to the prostate and hasn't spread anywhere else, patient will be diagnosed with localised prostate cancer.","2019-08-18 22:24:10","2019-08-18 22:24:10",141,141,123,123
73,73,171,171,A1ST2X15PC6CE8,A1ST2X15PC6CE8,4,4,470,470,"The people in the University of Southampton who need to contact you or send questionnaires, process and analyse your data, or audit the data collection process, will be the only people with access to information that identifies you.","The people in the University of Southampton who need to contact you or send questionnaires, process and analyse your data, or audit the data collection process, will be the only people with access to information that identifies you.","2019-08-18 22:26:34","2019-08-18 22:26:34",141,141,123,123
74,74,172,172,COPIEDA2DAI5W9S1ET6,COPIEDA2DAI5W9S1ET6,3,3,346,346,"The reason for the research is to help men with prostate cancer and your idea will be used.","The reason for the research is to help men with prostate cancer and your idea will be used.","2019-08-18 22:30:21","2019-08-18 22:30:21",131,131,123,123
75,75,173,173,A382IT3BF1UWLB,A382IT3BF1UWLB,2,2,264,264,"THE DATA PROVIDED BY YOU WILL BE USED TO CONDUCT AND ANALYSE RESEARCH STUDY WHEN YOU TAKE PART IN THIS STUDY","THE DATA PROVIDED BY YOU WILL BE USED TO CONDUCT AND ANALYSE RESEARCH STUDY WHEN YOU TAKE PART IN THIS STUDY","2019-08-18 22:31:16","2019-08-18 22:31:16",121,121,123,123
76,76,174,174,A1ST2X15PC6CE8,A1ST2X15PC6CE8,3,3,346,346,"your views will be used to develop a workshop, which is right for men with prostate cancer","your views will be used to develop a workshop, which is right for men with prostate cancer","2019-08-18 22:32:23","2019-08-18 22:32:23",131,131,123,123
77,77,175,175,A1ST2X15PC6CE8,A1ST2X15PC6CE8,3,3,342,342,"your name, your address will not be recorded on the questionnaire but will be identified by a number from the start of the study.","your name, your address will not be recorded on the questionnaire but will be identified by a number from the start of the study.","2019-08-18 22:35:24","2019-08-18 22:35:24",131,131,123,123
78,78,176,176,A1ST2X15PC6CE8,A1ST2X15PC6CE8,3,3,359,359,"if you are still happy to take part, please complete the questionnaire and return it to the workshop or send it to the university of Southampton in a pre paid envelope.","if you are still happy to take part, please complete the questionnaire and return it to the workshop or send it to the university of Southampton in a pre paid envelope.","2019-08-18 22:37:25","2019-08-18 22:37:25",131,131,123,123
79,79,177,177,COPIEDA2DAI5W9S1ET6,COPIEDA2DAI5W9S1ET6,3,3,342,342,"instead you will be given a number from the beginning of the exercise to help you know your data.name and address will not be save don the questionnaire.","instead you will be given a number from the beginning of the exercise to help you know your data.name and address will not be save don the questionnaire.","2019-08-18 22:37:51","2019-08-18 22:37:51",131,131,123,123
80,80,178,178,A1ST2X15PC6CE8,A1ST2X15PC6CE8,2,2,264,264,"when you agree to take part in a research study, we use your data to conduct and analyse the research study.","when you agree to take part in a research study, we use your data to conduct and analyse the research study.","2019-08-18 22:42:29","2019-08-18 22:42:29",121,121,123,123
81,81,179,179,A1ST2X15PC6CE8,A1ST2X15PC6CE8,2,2,222,222,"many people are living for many years after cancer treatment but we still don't know the best ways to give them the best possible recovery,","many people are living for many years after cancer treatment but we still don't know the best ways to give them the best possible recovery,","2019-08-18 22:43:41","2019-08-18 22:43:41",121,121,123,123
82,82,180,180,COPIEDA2DAI5W9S1ET6,COPIEDA2DAI5W9S1ET6,3,3,359,359,"if,having read this information,you are happy to partake,please complete the task and return it to the researcher at the workshop,or direct it to us via pre-paid to the university of southampton","if,having read this information,you are happy to partake,please complete the task and return it to the researcher at the workshop,or direct it to us via pre-paid to the university of southampton","2019-08-18 22:44:39","2019-08-18 22:44:39",131,131,123,123
83,83,181,181,COPIEDA2DAI5W9S1ET6,COPIEDA2DAI5W9S1ET6,3,3,359,359,"if,having read this information,you are happy to partake,please complete the task and return it to the researcher at the workshop,or direct it to us via pre-paid to the university of southampton","if,having read this information,you are happy to partake,please complete the task and return it to the researcher at the workshop,or direct it to us via pre-paid to the university of southampton","2019-08-18 22:44:39","2019-08-18 22:44:39",131,131,123,123
84,84,182,182,A1ST2X15PC6CE8,A1ST2X15PC6CE8,2,2,263,263,"we have to make sure it is in public interest when we use personal information from those partaking in the survey because we are a publicly funded organisation.","we have to make sure it is in public interest when we use personal information from those partaking in the survey because we are a publicly funded organisation.","2019-08-18 22:45:17","2019-08-18 22:45:17",121,121,123,123
85,85,183,183,A2U4LDPZF2P7BY,A2U4LDPZF2P7BY,4,4,450,450,"If your experience is difficult we can provide you with details for support.","If your experience is difficult we can provide you with details for support.","2019-08-18 22:47:57","2019-08-18 22:47:57",141,141,123,123
86,86,184,184,A2U4LDPZF2P7BY,A2U4LDPZF2P7BY,4,4,416,416,"Patients were diagnosed with prostate cancer that hasn't spread.","Patients were diagnosed with prostate cancer that hasn't spread.","2019-08-18 22:49:12","2019-08-18 22:49:12",141,141,123,123
87,87,185,185,A2U4LDPZF2P7BY,A2U4LDPZF2P7BY,4,4,470,470,"Information that identifies you will only be given to people in the University of Southampton who require it.","Information that identifies you will only be given to people in the University of Southampton who require it.","2019-08-18 22:50:48","2019-08-18 22:50:48",141,141,123,123
88,88,186,186,AYANXOKRFW1ZD,AYANXOKRFW1ZD,2,2,264,264,"Agreeing to take part in the research study means allowing us to use your data to analyse.","Agreeing to take part in the research study means allowing us to use your data to analyse.","2019-08-18 23:18:15","2019-08-18 23:18:15",121,121,123,123
