idClozeW,0,idReviser,1,idLeaflet,2,idSentence,3,clozeField1,4,clozeField2,5,clozeField3,6,clozeField4,7,clozeField5,8,clozeField6,9,clozeField7,10,clozeField8,11,clozeField9,12,clozeField10,13,dateT,14,flag,15,idGroup,16
21,21,ANNZ0CZ6WN49X,ANNZ0CZ6WN49X,1,1,4,4,this,this,"the use","the use","our database","our database",to,to,towards,towards,head,head,,,,,,,,,"2019-06-24 19:51:32","2019-06-24 19:51:32",0,0,1,1
22,22,A1IFHL2K9POTX,A1IFHL2K9POTX,1,1,1,1,,,,,,,,,,,,,,,,,,,,,"2019-06-24 19:57:29","2019-06-24 19:57:29",0,0,1,1
23,23,A2KFKP6S866JFB,A2KFKP6S866JFB,1,1,3,3,and,and,Chance,Chance,Some,Some,"As well","As well",It,It,As,As,"Because of","Because of",,,,,,,"2019-06-24 19:57:56","2019-06-24 19:57:56",0,0,1,1
24,24,A2KFKP6S866JFB,A2KFKP6S866JFB,1,1,4,4,The,The,"Any regard","Any regard",Them,Them,For,For,"Based on","Based on",Leading,Leading,,,,,,,,,"2019-06-24 20:02:29","2019-06-24 20:02:29",0,0,1,1
25,25,A1OQAP1S1OGZ88,A1OQAP1S1OGZ88,1,1,1,1,,,,,,,,,,,,,,,,,,,,,"2019-06-24 20:05:59","2019-06-24 20:05:59",0,0,1,1
26,26,AUN1LGCVAUMIK,AUN1LGCVAUMIK,1,1,1,1,,,,,,,,,,,,,,,,,,,,,"2019-06-24 20:08:04","2019-06-24 20:08:04",0,0,1,1
27,27,A1OQAP1S1OGZ88,A1OQAP1S1OGZ88,1,1,1,1,human,human,be,be,way,way,having,having,,,,,,,,,,,,,"2019-06-24 20:08:22","2019-06-24 20:08:22",0,0,1,1
28,28,AUN1LGCVAUMIK,AUN1LGCVAUMIK,1,1,2,2,after,after,check,check,and,and,could,could,test,test,,,,,,,,,,,"2019-06-24 20:09:12","2019-06-24 20:09:12",0,0,1,1
29,29,AUN1LGCVAUMIK,AUN1LGCVAUMIK,1,1,3,3,and,and,opportunity,opportunity,agree,agree,tests,tests,those,those,taking,taking,or,or,,,,,,,"2019-06-24 20:10:25","2019-06-24 20:10:25",0,0,1,1
30,30,A1OQAP1S1OGZ88,A1OQAP1S1OGZ88,1,1,2,2,forward,forward,have,have,or,or,have,have,chance,chance,,,,,,,,,,,"2019-06-24 20:10:34","2019-06-24 20:10:34",0,0,1,1
31,31,AUN1LGCVAUMIK,AUN1LGCVAUMIK,1,1,4,4,your,your,labels,labels,identity,identity,by,by,under,under,team,team,,,,,,,,,"2019-06-24 20:11:23","2019-06-24 20:11:23",0,0,1,1
32,32,A1OQAP1S1OGZ88,A1OQAP1S1OGZ88,1,1,3,3,and,and,medicine,medicine,way,way,have,have,virus,virus,"one of the","one of the",if,if,,,,,,,"2019-06-24 20:11:41","2019-06-24 20:11:41",0,0,1,1
33,33,A1OQAP1S1OGZ88,A1OQAP1S1OGZ88,1,1,4,4,some,some,my,my,way,way,2085295100,2085295100,chance,chance,"one of the","one of the",,,,,,,,,"2019-06-24 20:12:08","2019-06-24 20:12:08",0,0,1,1
34,34,A34ODQBU85IKLE,A34ODQBU85IKLE,1,1,1,1,,,,,,,,,,,,,,,,,,,,,"2019-06-24 21:17:21","2019-06-24 21:17:21",0,0,1,1
35,35,A396HQPW8JXF76,A396HQPW8JXF76,1,1,1,1,hospital,hospital,be,be,ailments,ailments,sequence,sequence,,,,,,,,,,,,,"2019-06-24 21:25:17","2019-06-24 21:25:17",0,0,1,1
36,36,A396HQPW8JXF76,A396HQPW8JXF76,1,1,2,2,at,at,examine,examine,and,and,will,will,equipment,equipment,,,,,,,,,,,"2019-06-24 21:25:54","2019-06-24 21:25:54",0,0,1,1
37,37,A396HQPW8JXF76,A396HQPW8JXF76,1,1,3,3,and,and,right,right,some,some,studies,studies,it,it,in,in,examining,examining,,,,,,,"2019-06-24 21:26:35","2019-06-24 21:26:35",0,0,1,1
38,38,A396HQPW8JXF76,A396HQPW8JXF76,1,1,4,4,"the analytical","the analytical",information,information,"the packaging","the packaging","to help","to help",in,in,examination,examination,,,,,,,,,"2019-06-24 21:27:33","2019-06-24 21:27:33",0,0,1,1
39,39,A33BWVBRPI2G3U,A33BWVBRPI2G3U,1,1,1,1,Clinic,Clinic,be,be,conditions,conditions,and,and,,,,,,,,,,,,,"2019-06-24 21:39:16","2019-06-24 21:39:16",0,0,5,5
40,40,A33BWVBRPI2G3U,A33BWVBRPI2G3U,1,1,2,2,after,after,test,test,and,and,"they will","they will",testing,testing,,,,,,,,,,,"2019-06-24 21:40:22","2019-06-24 21:40:22",0,0,5,5
41,41,A33BWVBRPI2G3U,A33BWVBRPI2G3U,1,1,3,3,and,and,right,right,any,any,studies,studies,this,this,being,being,or,or,,,,,,,"2019-06-24 21:41:40","2019-06-24 21:41:40",0,0,5,5
42,42,A33BWVBRPI2G3U,A33BWVBRPI2G3U,1,1,4,4,this,this,"the proccesing","the proccesing",file,file,to,to,"groups at ","groups at ",chief,chief,,,,,,,,,"2019-06-24 21:50:24","2019-06-24 21:50:24",0,0,5,5
43,43,A3RV6RI9C541FN,A3RV6RI9C541FN,1,1,1,1,,,,,,,,,,,,,,,,,,,,,"2019-06-24 21:51:33","2019-06-24 21:51:33",0,0,5,5
44,44,ARZ9KWKL0P8ND,ARZ9KWKL0P8ND,1,1,1,1,group,group,be,be,chemicals,chemicals,which,which,,,,,,,,,,,,,"2019-06-24 21:56:09","2019-06-24 21:56:09",0,0,5,5
45,45,ARZ9KWKL0P8ND,ARZ9KWKL0P8ND,1,1,2,2,at,at,test,test,and,and,will,will,equipment,equipment,,,,,,,,,,,"2019-06-24 21:56:54","2019-06-24 21:56:54",0,0,5,5
46,46,ARZ9KWKL0P8ND,ARZ9KWKL0P8ND,1,1,3,3,and,and,right,right,some,some,tests,tests,this,this,being,being,nor,nor,,,,,,,"2019-06-24 21:57:32","2019-06-24 21:57:32",0,0,5,5
47,47,ARZ9KWKL0P8ND,ARZ9KWKL0P8ND,1,1,4,4,our,our,use,use,them,them,for,for,upon,upon,lead,lead,,,,,,,,,"2019-06-24 21:58:33","2019-06-24 21:58:33",0,0,5,5
48,48,A1WAWEY2810TFN,A1WAWEY2810TFN,1,1,1,1,,,,,,,,,,,,,,,,,,,,,"2019-06-24 22:04:56","2019-06-24 22:04:56",0,0,5,5
49,49,A3Q4QMSBUWLKCT,A3Q4QMSBUWLKCT,1,1,1,1,Batch,Batch,"Be ","Be ","Research ","Research ",Procedure,Procedure,,,,,,,,,,,,,"2019-06-25 00:05:15","2019-06-25 00:05:15",0,0,1,1
50,50,A3Q4QMSBUWLKCT,A3Q4QMSBUWLKCT,1,1,2,2,at,at,Test,Test,"However ","However ",Will,Will,"Equipment ","Equipment ",,,,,,,,,,,"2019-06-25 00:07:15","2019-06-25 00:07:15",0,0,1,1
51,51,A3Q4QMSBUWLKCT,A3Q4QMSBUWLKCT,1,1,3,3,and,and,"Authority ","Authority ",Some,Some,Data,Data,This,This,"In any","In any",G,G,,,,,,,"2019-06-25 00:09:41","2019-06-25 00:09:41",0,0,1,1
52,52,A3Q4QMSBUWLKCT,A3Q4QMSBUWLKCT,1,1,4,4,"Research ","Research ",Use,Use,"Purpose ","Purpose ","For ","For ","Study in","Study in",,,,,,,,,,,"2019-06-25 00:11:23","2019-06-25 00:11:23",0,0,1,1
53,53,A23KNYW5XJ9FKD,A23KNYW5XJ9FKD,1,1,1,1,group,group,confidentially,confidentially,chemicals,chemicals,which,which,,,,,,,,,,,,,"2019-06-25 01:18:00","2019-06-25 01:18:00",0,0,5,5
54,54,A23KNYW5XJ9FKD,A23KNYW5XJ9FKD,1,1,2,2,at,at,test,test,and,and,will,will,tests,tests,,,,,,,,,,,"2019-06-25 01:19:50","2019-06-25 01:19:50",0,0,5,5
55,55,A23KNYW5XJ9FKD,A23KNYW5XJ9FKD,1,1,3,3,and,and,opportunity,opportunity,any,any,studies,studies,this,this,being,being,or,or,,,,,,,"2019-06-25 01:20:53","2019-06-25 01:20:53",0,0,5,5
56,56,A23KNYW5XJ9FKD,A23KNYW5XJ9FKD,1,1,4,4,this,this,retention,retention,file,file,in,in,on,on,senior,senior,,,,,,,,,"2019-06-25 01:22:54","2019-06-25 01:22:54",0,0,5,5
57,57,A1D0MQX51WOV57,A1D0MQX51WOV57,1,1,1,1,,,,,,,,,,,,,,,,,,,,,"2019-06-25 01:49:10","2019-06-25 01:49:10",0,0,5,5
58,58,A1D0MQX51WOV57,A1D0MQX51WOV57,1,1,2,2,jtdh,jtdh,sfgsgh,sfgsgh,dshthgh,dshthgh,hxth,hxth,hdthdh,hdthdh,,,,,,,,,,,"2019-06-25 01:49:42","2019-06-25 01:49:42",0,0,5,5
59,59,A1D0MQX51WOV57,A1D0MQX51WOV57,1,1,3,3,,,,,,,,,,,,,,,,,,,,,"2019-06-25 01:49:47","2019-06-25 01:49:47",0,0,5,5
60,60,A1D0MQX51WOV57,A1D0MQX51WOV57,1,1,4,4,,,,,,,,,,,,,,,,,,,,,"2019-06-25 01:49:54","2019-06-25 01:49:54",0,0,5,5
61,61,A1V5E5D0BNLYHM,A1V5E5D0BNLYHM,1,1,1,1,"good health,","good health,",be,be,ailments,ailments,which,which,,,,,,,,,,,,,"2019-06-25 01:53:20","2019-06-25 01:53:20",0,0,5,5
62,62,A1V5E5D0BNLYHM,A1V5E5D0BNLYHM,1,1,2,2,at,at,test,test,and,and,will,will,practices,practices,,,,,,,,,,,"2019-06-25 01:54:28","2019-06-25 01:54:28",0,0,5,5
63,63,A1V5E5D0BNLYHM,A1V5E5D0BNLYHM,1,1,3,3,and,and,right,right,any,any,examinations,examinations,it,it,"physically,","physically,",reflects,reflects,,,,,,,"2019-06-25 01:57:26","2019-06-25 01:57:26",0,0,5,5
64,64,A1V5E5D0BNLYHM,A1V5E5D0BNLYHM,1,1,4,4,this,this,records,records,subjects,subjects,to,to,in,in,chosen,chosen,,,,,,,,,"2019-06-25 02:09:44","2019-06-25 02:09:44",0,0,5,5
65,65,A1WYGTT2ZLGFH1,A1WYGTT2ZLGFH1,1,1,1,1,UK,UK,be,be,ways,ways,it,it,,,,,,,,,,,,,"2019-06-25 03:25:04","2019-06-25 03:25:04",0,0,5,5
66,66,A1WYGTT2ZLGFH1,A1WYGTT2ZLGFH1,1,1,2,2,at,at,be,be,and,and,can,can,team,team,,,,,,,,,,,"2019-06-25 03:27:18","2019-06-25 03:27:18",0,0,5,5
67,67,A1WYGTT2ZLGFH1,A1WYGTT2ZLGFH1,1,1,3,3,and,and,,,one,one,,,,,,,,,,,,,,,"2019-06-25 03:29:35","2019-06-25 03:29:35",0,0,5,5
68,68,A1WYGTT2ZLGFH1,A1WYGTT2ZLGFH1,1,1,4,4,this,this,record,record,process,process,verification,verification,because,because,contact,contact,,,,,,,,,"2019-06-25 03:31:29","2019-06-25 03:31:29",0,0,5,5
69,69,AH5YG8UZ848Z4,AH5YG8UZ848Z4,1,1,1,1,laboratory,laboratory,test,test,diseases,diseases,machine,machine,,,,,,,,,,,,,"2019-06-25 04:46:27","2019-06-25 04:46:27",0,0,5,5
70,70,AH5YG8UZ848Z4,AH5YG8UZ848Z4,1,1,2,2,great,great,treat,treat,instead,instead,because,because,finally,finally,,,,,,,,,,,"2019-06-25 05:11:13","2019-06-25 05:11:13",0,0,5,5
71,71,AWB4PLG89V8HB,AWB4PLG89V8HB,1,1,1,1,men,men,be,be,ways,ways,for,for,,,,,,,,,,,,,"2019-06-25 05:19:16","2019-06-25 05:19:16",0,0,5,5
72,72,AWB4PLG89V8HB,AWB4PLG89V8HB,1,1,2,2,,,,,,,,,,,,,,,,,,,,,"2019-06-25 05:19:23","2019-06-25 05:19:23",0,0,5,5
73,73,AZ9T4UWELND5V,AZ9T4UWELND5V,1,1,1,1,,,,,,,,,,,,,,,,,,,,,"2019-06-25 06:59:32","2019-06-25 06:59:32",0,0,1,1
74,74,AZ9T4UWELND5V,AZ9T4UWELND5V,1,1,2,2,for,for,take,take,but,but,very,very,him,him,,,,,,,,,,,"2019-06-25 07:06:04","2019-06-25 07:06:04",0,0,1,1
75,75,AZ9T4UWELND5V,AZ9T4UWELND5V,1,1,3,3,and,and,able,able,take,take,must,must,the,the,same,same,in,in,,,,,,,"2019-06-25 07:09:01","2019-06-25 07:09:01",0,0,1,1
76,76,AZ9T4UWELND5V,AZ9T4UWELND5V,1,1,4,4,the,the,take,take,that,that,in,in,for,for,most,most,,,,,,,,,"2019-06-25 07:11:05","2019-06-25 07:11:05",0,0,1,1
77,77,A1JC5HKL4T0YG7,A1JC5HKL4T0YG7,1,1,1,1,clinic,clinic,be,be,conditions,conditions,which,which,,,,,,,,,,,,,"2019-06-25 07:43:26","2019-06-25 07:43:26",0,0,5,5
78,78,A1JC5HKL4T0YG7,A1JC5HKL4T0YG7,1,1,2,2,after,after,check,check,amd,amd,will,will,equipment,equipment,,,,,,,,,,,"2019-06-25 07:44:15","2019-06-25 07:44:15",0,0,5,5
79,79,A1JC5HKL4T0YG7,A1JC5HKL4T0YG7,1,1,3,3,and,and,right,right,some,some,studies,studies,refusal,refusal,,,,,,,,,,,"2019-06-25 07:45:18","2019-06-25 07:45:18",0,0,5,5
80,80,A1JC5HKL4T0YG7,A1JC5HKL4T0YG7,1,1,4,4,this,this,inclusion,inclusion,labels,labels,for,for,at,at,principal,principal,,,,,,,,,"2019-06-25 07:46:01","2019-06-25 07:46:01",0,0,5,5
81,81,A8D3UQYYSWVYM,A8D3UQYYSWVYM,1,1,1,1,pains,pains,be,be,"disease ","disease ",which,which,,,,,,,,,,,,,"2019-06-25 08:43:01","2019-06-25 08:43:01",0,0,5,5
82,82,A3VRR7TNM21CQZ,A3VRR7TNM21CQZ,1,1,1,1,hall,hall,be,be,medical,medical,medicine,medicine,,,,,,,,,,,,,"2019-06-25 08:55:14","2019-06-25 08:55:14",0,0,5,5
83,83,A3VRR7TNM21CQZ,A3VRR7TNM21CQZ,1,1,2,2,"a store,","a store,","enter there","enter there",penal,penal,medicine,medicine,store,store,,,,,,,,,,,"2019-06-25 08:57:43","2019-06-25 08:57:43",0,0,5,5
84,84,A3VRR7TNM21CQZ,A3VRR7TNM21CQZ,1,1,3,3,and,and,opportunity,opportunity,some,some,medicine,medicine,it,it,to,to,for,for,,,,,,,"2019-06-25 08:59:23","2019-06-25 08:59:23",0,0,5,5
85,85,A3VRR7TNM21CQZ,A3VRR7TNM21CQZ,1,1,4,4,the,the,any,any,medicine,medicine,some,some,to,to,medical,medical,,,,,,,,,"2019-06-25 09:00:43","2019-06-25 09:00:43",0,0,5,5
86,86,ATT3V8SFXJGU,ATT3V8SFXJGU,1,1,1,1,,,,,,,,,,,,,,,,,,,,,"2019-06-25 09:12:37","2019-06-25 09:12:37",0,0,5,5
87,87,ATT3V8SFXJGU,ATT3V8SFXJGU,1,1,1,1,pain.,pain.,be,be,causes,causes,procedure,procedure,,,,,,,,,,,,,"2019-06-25 09:13:42","2019-06-25 09:13:42",0,0,5,5
88,88,ATT3V8SFXJGU,ATT3V8SFXJGU,1,1,2,2,after,after,test,test,causes,causes,will,will,methods,methods,,,,,,,,,,,"2019-06-25 09:17:38","2019-06-25 09:17:38",0,0,5,5
89,89,ATT3V8SFXJGU,ATT3V8SFXJGU,1,1,3,3,and,and,right,right,some,some,tests,tests,this,this,r,r,or,or,,,,,,,"2019-06-25 09:20:17","2019-06-25 09:20:17",0,0,5,5
90,90,ATT3V8SFXJGU,ATT3V8SFXJGU,1,1,4,4,clinical,clinical,knowledge,knowledge,hand,hand,for,for,for,for,lead,lead,,,,,,,,,"2019-06-25 09:22:09","2019-06-25 09:22:09",0,0,5,5
91,91,A1UYK7SUH7SQ6W,A1UYK7SUH7SQ6W,1,1,1,1,,,,,,,,,,,,,,,,,,,,,"2019-06-25 11:35:42","2019-06-25 11:35:42",0,0,5,5
92,92,A3PWMS9PPF3DC9,A3PWMS9PPF3DC9,1,1,1,1,group,group,be,be,reasons,reasons,that,that,,,,,,,,,,,,,"2019-06-25 12:00:16","2019-06-25 12:00:16",0,0,5,5
93,93,A3PWMS9PPF3DC9,A3PWMS9PPF3DC9,1,1,2,2,at,at,examine,examine,and,and,will,will,equipment,equipment,,,,,,,,,,,"2019-06-25 12:00:38","2019-06-25 12:00:38",0,0,5,5
94,94,A3PWMS9PPF3DC9,A3PWMS9PPF3DC9,1,1,3,3,and,and,choice,choice,some,some,questions,questions,this,this,as,as,or,or,,,,,,,"2019-06-25 12:01:13","2019-06-25 12:01:13",0,0,5,5
95,95,A3PWMS9PPF3DC9,A3PWMS9PPF3DC9,1,1,4,4,this,this,evidence,evidence,them,them,during,during,under,under,chief,chief,,,,,,,,,"2019-06-25 12:02:05","2019-06-25 12:02:05",0,0,5,5
96,96,yo,yo,2,2,11,11,,,decide,decide,the,the,take,take,system,system,,,,,,,,,,,"2019-08-16 20:04:00","2019-08-16 20:04:00",123,123,10,10
97,97,yo,yo,2,2,7,7,a,a,is,is,with,with,don,don,the,the,to,to,,,,,,,,,"2019-08-16 20:05:08","2019-08-16 20:05:08",123,123,10,10
98,98,yo,yo,2,2,2,2,need,need,to,to,this,this,benefit,benefit,identifiable,identifiable,has,has,,,,,,,,,"2019-08-16 20:07:06","2019-08-16 20:07:06",123,123,10,10
99,99,yo2,yo2,2,2,11,11,11,11,11,11,11,11,11,11,115,115,,,,,,,,,,,"2019-08-17 17:29:26","2019-08-17 17:29:26",123,123,21,21
100,100,yo2,yo2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,76,76,,,,,,,,,"2019-08-17 17:30:21","2019-08-17 17:30:21",123,123,21,21
101,101,yo2,yo2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,26,,,,,,,,,"2019-08-17 17:30:49","2019-08-17 17:30:49",123,123,21,21
102,102,yo3,yo3,3,3,24,24,24,24,24,24,24,24,24,24,245,245,,,,,,,,,,,"2019-08-17 17:34:11","2019-08-17 17:34:11",123,123,31,31
103,103,yo3,yo3,3,3,18,18,18,18,18,18,18,18,18,18,18,18,186,186,,,,,,,,,"2019-08-17 17:35:15","2019-08-17 17:35:15",123,123,31,31
104,104,yo3,yo3,3,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,158,158,,,,,"2019-08-17 17:36:16","2019-08-17 17:36:16",123,123,31,31
105,105,yo4,yo4,4,4,36,36,36,36,36,36,36,36,364,364,,,,,,,,,,,,,"2019-08-17 17:39:03","2019-08-17 17:39:03",123,123,41,41
106,106,yo4,yo4,4,4,32,32,32,32,32,32,32,32,32,32,325,325,,,,,,,,,,,"2019-08-17 17:40:34","2019-08-17 17:40:34",123,123,41,41
107,107,yo4,yo4,4,4,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,278,278,,,,,"2019-08-17 17:41:19","2019-08-17 17:41:19",123,123,41,41
108,108,A1W89GXH3DEF23,A1W89GXH3DEF23,2,2,11,11,,,,,,,,,,,,,,,,,,,,,"2019-08-17 18:21:41","2019-08-17 18:21:41",123,123,21,21
109,109,A1W89GXH3DEF23,A1W89GXH3DEF23,2,2,7,7,A,A,Are,Are,With,With,Don,Don,The,The,To,To,,,,,,,,,"2019-08-17 18:22:45","2019-08-17 18:22:45",123,123,21,21
110,110,A1W89GXH3DEF23,A1W89GXH3DEF23,2,2,2,2,With,With,You,You,It,It,Interest,Interest,Sensitive,Sensitive,Have,Have,,,,,,,,,"2019-08-17 18:23:50","2019-08-17 18:23:50",123,123,21,21
111,111,A1YE98BQ5QRE6X,A1YE98BQ5QRE6X,3,3,24,24,The,The,is,is,that,that,with,with,answers,answers,,,,,,,,,,,"2019-08-17 18:27:47","2019-08-17 18:27:47",123,123,31,31
112,112,A1YE98BQ5QRE6X,A1YE98BQ5QRE6X,3,3,18,18,,,a,a,of,of,be,be,,,will,will,,,,,,,,,"2019-08-17 18:28:15","2019-08-17 18:28:15",123,123,31,31
113,113,A1YE98BQ5QRE6X,A1YE98BQ5QRE6X,3,3,15,15,,,and,and,questionaire,questionaire,and,and,leader,leader,return,return,the,the,the,the,,,,,"2019-08-17 18:29:08","2019-08-17 18:29:08",123,123,31,31
114,114,A11W6Z0AFXSJ6C,A11W6Z0AFXSJ6C,4,4,36,36,,,,,,,,,,,,,,,,,,,,,"2019-08-17 18:31:20","2019-08-17 18:31:20",123,123,41,41
115,115,A172PX0FM3WKLR,A172PX0FM3WKLR,4,4,36,36,If,If,Part,Part,We,We,With,With,,,,,,,,,,,,,"2019-08-17 18:32:06","2019-08-17 18:32:06",123,123,41,41
116,116,A1KCKKMDKHADNC,A1KCKKMDKHADNC,3,3,24,24,The,The,is,is,that,that,having,having,self,self,,,,,,,,,,,"2019-08-17 18:37:38","2019-08-17 18:37:38",123,123,31,31
117,117,A1KCKKMDKHADNC,A1KCKKMDKHADNC,3,3,18,18,next,next,a,a,of,of,be,be,submission,submission,will,will,,,,,,,,,"2019-08-17 18:38:46","2019-08-17 18:38:46",123,123,31,31
118,118,A1KCKKMDKHADNC,A1KCKKMDKHADNC,3,3,15,15,nxt,nxt,you,you,part,part,and,and,reception,reception,email,email,the,the,a,a,,,,,"2019-08-17 18:39:39","2019-08-17 18:39:39",123,123,31,31
119,119,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,11,11,Consent,Consent,agree,agree,this,this,use,use,way,way,,,,,,,,,,,"2019-08-17 18:41:16","2019-08-17 18:41:16",123,123,21,21
120,120,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,7,7,A,A,are,are,"thanks to ","thanks to ",don,don,"of the","of the",to,to,,,,,,,,,"2019-08-17 18:42:11","2019-08-17 18:42:11",123,123,21,21
121,121,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,2,2,"We are","We are","and we","and we",it,it,interest,interest,gathered,gathered,have,have,,,,,,,,,"2019-08-17 18:42:54","2019-08-17 18:42:54",123,123,21,21
122,122,AEQ0FXD00UB2Z,AEQ0FXD00UB2Z,4,4,36,36,If,If,aspects,aspects,Staff,Staff,additional,additional,,,,,,,,,,,,,"2019-08-17 18:55:34","2019-08-17 18:55:34",123,123,41,41
123,123,AUZUHON52J10U,AUZUHON52J10U,4,4,36,36,If,If,part,part,we,we,with,with,,,,,,,,,,,,,"2019-08-17 18:59:32","2019-08-17 18:59:32",123,123,41,41
124,124,AUZUHON52J10U,AUZUHON52J10U,4,4,32,32,Some,Some,tumor,tumor,which,which,prostrate,prostrate,anywhere,anywhere,,,,,,,,,,,"2019-08-17 19:01:09","2019-08-17 19:01:09",123,123,41,41
125,125,AEQ0FXD00UB2Z,AEQ0FXD00UB2Z,4,4,32,32,Patients,Patients,,,localised,localised,"specific area","specific area",anywhere,anywhere,,,,,,,,,,,"2019-08-17 19:03:15","2019-08-17 19:03:15",123,123,41,41
126,126,AUZUHON52J10U,AUZUHON52J10U,4,4,27,27,The,The,University,University,have,have,"is about ","is about ",that,that,to,to,check,check,and,and,,,,,"2019-08-17 19:06:54","2019-08-17 19:06:54",123,123,41,41
127,127,AEQ0FXD00UB2Z,AEQ0FXD00UB2Z,4,4,27,27,The,The,area,area,grant,grant,assists,assists,that,that,regarding,regarding,collect,collect,"as well as","as well as",,,,,"2019-08-17 19:17:13","2019-08-17 19:17:13",123,123,41,41
